source_id,verified_at,authority,version_status,claim_check,limitations
"SRC-001","2026-09-07T09:38:00Z","GA4GH","VRS 2.0 official release; VRS 2.1 community-review ballot pending","Official specification defines language-neutral molecular variation, sequence locations, normalization and computed identifiers","Active development requires exact release and maturity pins"
"SRC-002","2026-09-07T09:38:00Z","GA4GH","Refget Sequences 2.0.0 approved in 2024","Official protocol defines digest-derived sequence identity, normalization, metadata and ranged retrieval","Protocol identity does not replace archive accession or authorization"
"SRC-003","2026-09-07T09:38:00Z","GA4GH","Refget Sequence Collections 1.0.0 approved in 2025","Official specification defines collection digests, completeness levels, coordinate-system views and compatibility comparison","Pangenomes remain in process and compatibility is profile-dependent"
"SRC-004","2026-09-07T09:38:00Z","HGVS","HGVS 21.1.4 dated 11 May 2026","Official recommendations require an accepted immutable reference and distinguish measured from predicted consequence expressions","Expression validity is not biological or clinical truth"
"SRC-005","2026-09-07T09:38:00Z","GA4GH Large Scale Genomics","VCF 4.5 canonical specification","Official specification defines file metadata, coordinates, alleles, symbolic forms and genotype fields","VCF records are format-level representations and require file and reference context"
"SRC-006","2026-09-07T09:38:00Z","INSDC","Living technical specifications accessed 7 September 2026","Official site confirms shared submission, validation, controlled-vocabulary, assembly and representation specifications","Member databases and living documents require exact profile pins"
"SRC-007","2026-09-07T09:38:00Z","NCBI","Living RefSeq documentation accessed 7 September 2026","Official source confirms curated reference sequence records and accession-version use","Reference status and annotation can evolve while prior versions remain significant"
"SRC-008","2026-09-07T09:38:00Z","NCBI","Variation API v0 accessed 7 September 2026","Official service exposes SPDI normalization and variation translation operations","API version zero and algorithm behavior require captured request and release context"
"SRC-009","2026-09-07T09:38:00Z","NCBI ClinVar","Living data model accessed 7 September 2026","Official model separates submissions, variant aggregates and variant-condition aggregates with observations","Clinical archive aggregation is not molecular identity or patient-specific interpretation"
"SRC-010","2026-09-07T09:38:00Z","NCBI ClinVar","Classification documentation updated 15 August 2025","Official source distinguishes germline, somatic clinical-impact and oncogenicity classifications","Terminology and aggregation rules evolve and remain condition-contextual"
"SRC-011","2026-09-07T09:38:00Z","EMBL-EBI EVA","Living service accessed 7 September 2026","Official source defines VCF submissions, normalization, SS and RS accessions, species scope and merge history","Human and non-human accession authority differs and controlled-access data belongs elsewhere"
"SRC-012","2026-09-07T09:38:00Z","Sequence Ontology Project","Living ontology repository accessed 7 September 2026","Official ontology defines sequence features, alterations and molecular consequence classes","Ontology release and annotation-tool versions must be pinned"
"SRC-013","2026-09-07T09:38:00Z","ClinGen","Living guidance accessed 7 September 2026; SVI reorganized in 2025","Official resources provide evidence-criterion and expert-panel specifications","Gene and disease specifications vary and do not define molecular identity"
"SRC-014","2026-09-07T09:38:00Z","ACMG and AMP","2015 standard; replacement in development","Official guideline defines five-tier Mendelian classification and evidence categories","Human clinical scope is narrower than all genomic variation and revision is pending"
"SRC-015","2026-09-07T09:38:00Z","HL7 International","FHIR R5 5.0.0","Official resource represents one molecular sequence in clinical exchange","Maturity level 1 Trial Use and patient security category require caution"
"SRC-016","2026-09-07T09:38:00Z","GA4GH","DUO 1.0 approved 23 February 2021","Official product defines machine-readable data-use permissions and modifiers","Ontology tags support but do not themselves grant access"
"SRC-017","2026-09-07T09:38:00Z","GA4GH","Current framework accessed 7 September 2026","Official framework defines responsible sharing, consent, privacy, security and governance principles","Framework complements rather than replaces applicable law and institutional policy"
"SRC-018","2026-09-07T09:38:00Z","W3C","Recommendation dated 30 April 2013","Official ontology defines derivation, attribution, revision and invalidation","Generic provenance needs genomic domain profiles"
"SRC-019","2026-09-07T09:38:00Z","W3C","Working Group Note dated 15 December 2016","Official vocabulary defines quality measurements, annotations, standards and provenance","Note status and domain metrics require local validation"
"SRC-020","2026-09-07T09:38:00Z","W3C","Recommendation dated 15 February 2018","Official model defines permissions, prohibitions, duties and constraints","Policy expression is not authorization enforcement"
"SRC-021","2026-09-07T09:38:00Z","IETF","RFC 3339 dated July 2002","Official RFC defines timestamps with seconds and explicit offset or Z","Domain event semantics and precision remain model responsibilities"
"SRC-022","2026-09-07T09:38:00Z","IETF","RFC 8785 dated June 2020","Official RFC defines deterministic JSON canonicalization","Canonical JSON does not establish semantic identity by itself"
"SRC-023","2026-09-07T09:38:00Z","W3C","Recommendation dated 16 July 2020","Official specification defines linked-data identity and typed JSON projections","Context versions and graph transformations can introduce semantic loss"
"SRC-024","2026-09-07T09:38:00Z","GA4GH","Beacon v2 repository accessed 7 September 2026","Official repository defines federated genomic discovery requests and responses","Discovery exposure and implementation versions require privacy and conformance review"
