source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,IEEE 1044-2009 - IEEE Standard Classification for Software Anomalies,IEEE Standards Association,https://standards.ieee.org/ieee/1044/4607/,"Approved 2009-11-09, published 2010-01-07; status Inactive-Reserved since 2020-03-05",true,false,true,unverified,unverified,unverified,
SRC-002,OSLC Change Management Version 3.0 - Part 1: Specification (OASIS Standard),OASIS Open Projects,https://docs.oasis-open-projects.org/oslc-op/cm/v3.0/os/change-mgt-spec.html,"OASIS Standard, 26 May 2021",true,false,true,unverified,unverified,unverified,
SRC-003,OSLC Change Management Version 3.0 - Part 2: Vocabulary (OASIS Standard),OASIS Open Projects,https://docs.oasis-open-projects.org/oslc-op/cm/v3.0/os/change-mgt-vocab.html,"OASIS Standard, 26 May 2021",true,false,true,unverified,unverified,unverified,
SRC-004,CVE Record Format JSON Schema Documentation,CVE Program (MITRE),https://cveproject.github.io/cve-schema/schema/docs/,Record Format v5.1.0,true,false,true,unverified,unverified,unverified,
SRC-005,Common Vulnerability Scoring System version 4.0: Specification Document,"FIRST.Org, Inc.",https://www.first.org/cvss/v4-0/specification-document,"CVSS v4.0, document version 1.2, 2023-11-01 (revised 2024-06-18)",true,false,true,unverified,unverified,unverified,
SRC-006,Common Security Advisory Framework Version 2.0 (OASIS Standard),OASIS,https://docs.oasis-open.org/csaf/csaf/v2.0/os/csaf-v2.0-os.html,"OASIS Standard, 18 November 2022",true,false,true,unverified,unverified,unverified,
SRC-007,BF Vulnerability State Model - Bugs Framework,National Institute of Standards and Technology,https://pages.nist.gov/BF/info/bf-vulnerability-models/bf-vulnerability-state-model,"Bugs Framework project pages, citing NIST SP 800-231 (2024)",true,false,true,unverified,unverified,unverified,
SRC-008,"NIST SP 800-231, Bugs Framework (BF): Formalizing Cybersecurity Weaknesses and Vulnerabilities",National Institute of Standards and Technology,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-231.pdf,"NIST Special Publication 800-231, 2024",true,false,true,unverified,unverified,unverified,
SRC-009,Regulation (EU) 2024/2847 on horizontal cybersecurity requirements for products with digital elements (Cyber Resilience Act),European Parliament and Council of the European Union,https://eur-lex.europa.eu/eli/reg/2024/2847/oj/eng,"Regulation of 23 October 2024, OJ L, 20 November 2024",true,false,true,unverified,unverified,unverified,
SRC-010,GitHub REST API - Issues,"GitHub, Inc.",https://docs.github.com/en/rest/issues/issues,REST API version 2026-03-10,true,false,true,unverified,unverified,unverified,
SRC-011,About CWE - Common Weakness Enumeration,MITRE Corporation,https://cwe.mitre.org/about/index.html,"CWE List, updated three to four times per year; accessed 2026-09-03",true,false,true,unverified,unverified,unverified,
SRC-012,IEEE/ISO/IEC 29119-3-2021 - Software and systems engineering - Software testing - Part 3: Test documentation,IEEE Standards Association,https://standards.ieee.org/ieee/29119-3/7499/,"Published 2021-10-28, active",true,false,true,unverified,unverified,unverified,
SRC-013,ISO/IEC/IEEE 24765-2017 - Systems and software engineering - Vocabulary,IEEE Standards Association / ISO / IEC,https://standards.ieee.org/ieee/24765/6800/,"Published 2017-08-28, active",true,false,true,unverified,unverified,unverified,
SRC-014,IEC 62304:2006+AMD1:2015 CSV - Medical device software - Software life cycle processes,International Electrotechnical Commission,https://webstore.iec.ch/en/publication/22794,"Edition 1.1, 2015-06-26",true,false,true,unverified,unverified,unverified,
SRC-015,Bugzilla Documentation - Understanding a Bug,Bugzilla Project (Mozilla Foundation),https://bugzilla.readthedocs.io/en/latest/using/understanding.html,"Bugzilla documentation, latest build; accessed 2026-09-03",true,false,true,unverified,unverified,unverified,
SRC-016,Using the Four Keys to measure your DevOps performance,Google Cloud (DORA),https://cloud.google.com/blog/products/devops-sre/using-the-four-keys-to-measure-your-devops-performance,Published 2020-09-23,true,false,true,unverified,unverified,unverified,
