source_id,verified_at,authority,version_status,claim_check,limitations
SRC-001,2026-09-06T21:46:00Z,NIST,accessed date pinned,experimental design statistical assumptions tests and interpretation context verified,handbook guidance is not a universal scientific decision rule
SRC-002,2026-09-06T21:46:00Z,NIST,accessed date pinned,hypothesis-test and confidence-interval relationship verified,method applicability and assumptions remain profile-specific
SRC-003,2026-09-06T21:46:00Z,ISO,pinned 2006 revision pending,general statistical terminology scope verified,licensed detail and pending revision require exact implementation pin
SRC-004,2026-09-06T21:46:00Z,JCGM,pinned 2012,measurement result quantity uncertainty and calibration vocabulary verified,metrology terms do not define every disciplinary construct
SRC-005,2026-09-06T21:46:00Z,JCGM,pinned 2008,measurement uncertainty expression framework verified,copyright and method conditions limit reproduction and universalization
SRC-006,2026-09-06T21:46:00Z,NLM ClinicalTrials.gov,accessed date pinned,hypothesis summary objectives interventions outcomes and protocol metadata verified,health-study profile is not universal
SRC-007,2026-09-06T21:46:00Z,NLM ClinicalTrials.gov,updated 2024,result measures tests estimates p-values and null-hypothesis fields verified,reporting fields do not decide truth or clinical importance
SRC-008,2026-09-06T21:46:00Z,WHO,pinned TRDS 1.3.1,prospective trial identity design intervention and outcome registry fields verified,trial registration is a health-research profile
SRC-009,2026-09-06T21:46:00Z,Center for Open Science,accessed date pinned,time-stamped frozen preregistration workflow verified,template choice and disciplinary content remain external
SRC-010,2026-09-06T21:46:00Z,OECD,pinned 2015,research and experimental development boundaries verified,manual is an R and D measurement framework not a hypothesis schema
SRC-011,2026-09-06T21:46:00Z,UNESCO,pinned 2021,open hypothesis methods data evaluation scrutiny and reproducibility context verified,recommendation requires institutional and jurisdictional implementation
SRC-012,2026-09-06T21:46:00Z,OBI Consortium,accessed date pinned,investigation design objective assay data and analysis ontology scope verified,biomedical roots and moving release require exact pin
SRC-013,2026-09-06T21:46:00Z,STATO Consortium,accessed date pinned,statistical method estimate test and evaluated-hypothesis links verified,ontology release and domain coverage need conformance review
SRC-014,2026-09-06T21:46:00Z,ECO Consortium,pinned 2025-06-23,evidence and assertion-method classes verified,biocuration focus does not grade every discipline
SRC-015,2026-09-06T21:46:00Z,W3C,pinned 2013,entity activity agent attribution derivation revision and invalidation verified,provenance alone does not establish truth or authority
SRC-016,2026-09-06T21:46:00Z,W3C,pinned 2017,body target selector motivation and annotation provenance verified,annotation relation does not determine evidential force
SRC-017,2026-09-06T21:46:00Z,W3C,pinned 2016,quality measurement annotation policy and provenance verified,note status and local quality metrics remain explicit
SRC-018,2026-09-06T21:46:00Z,W3C,pinned 2.2,purpose permission prohibition duty and constraint model verified,legal enforceability depends on jurisdiction and agreement
SRC-019,2026-09-06T21:46:00Z,W3C,pinned 2017,graph constraint and validation-report semantics verified,SHACL conformance is not scientific validity
SRC-020,2026-09-06T21:46:00Z,DataCite,pinned 4.7,research-resource identity version relation funding and rights metadata verified,schema does not encode hypothesis evaluation semantics
SRC-021,2026-09-06T21:46:00Z,RO-Crate Community,pinned 1.3,research-object aggregation context provenance and profile semantics verified,package conformance does not establish scientific quality
SRC-022,2026-09-06T21:46:00Z,Schema.org,accessed date pinned,broad Claim discovery term verified,vocabulary is intentionally loose and not an evaluation ontology
SRC-023,2026-09-06T21:46:00Z,IETF,pinned RFC 3339,seconds and explicit offset timestamp requirement verified,semantic clock kinds require model rules
SRC-024,2026-09-06T21:46:00Z,Nature Scientific Data,pinned 2016,FAIR discovery access interoperability and reuse principles verified,FAIRness does not imply truth quality or openness
