source_id,verified_at,authority,version_status,claim_check,limitations
SRC-001,2026-09-06T21:29:00Z,ISO,pinned 2018 confirmed 2024,energy use consumption and performance management context verified,abstract does not expose licensed clause detail
SRC-002,2026-09-06T21:29:00Z,ISO,pinned 2023,baseline indicator and evaluation context verified,implementation requires licensed standard review
SRC-003,2026-09-06T21:29:00Z,ISO,pinned 2014 confirmed 2025,measurement and verification scope verified,general principles do not select a site-specific method
SRC-004,2026-09-06T21:29:00Z,ISO,pinned 2006 confirmed 2022,LCA goal scope inventory assessment and interpretation verified,licensed clauses and sector rules remain external
SRC-005,2026-09-06T21:29:00Z,ISO,pinned 2006 amendments 2017 2020,LCA boundary allocation quality and reporting context verified,licensed detail not reproduced
SRC-006,2026-09-06T21:29:00Z,ISO,pinned 2014 confirmed 2021,LCA-based water footprint scope verified,consumption quantity alone is not a water-impact result
SRC-007,2026-09-06T21:29:00Z,ISO,pinned 2011 confirmed 2025,material and energy physical flow and stock accounting verified,cost accounting is an external projection
SRC-008,2026-09-06T21:29:00Z,ISO,pinned 2017 confirmed 2022,supply-chain MFCA extension verified,implementation and commercial disclosure need local policy
SRC-009,2026-09-06T21:29:00Z,United Nations,pinned 2012,physical supply use stock product residual and boundary semantics verified,macro accounting needs profile adaptation for individual assertions
SRC-010,2026-09-06T21:29:00Z,United Nations,accessed date pinned,energy physical flow and joule aggregation context verified,does not define every meter or billing convention
SRC-011,2026-09-06T21:29:00Z,United Nations,accessed date pinned,water abstraction within-economy use and return distinctions verified,hydrological and jurisdiction profiles remain external
SRC-012,2026-09-06T21:29:00Z,United Nations,accessed date pinned,material input accumulation import export and output context verified,economy-wide categories need local product mapping
SRC-013,2026-09-06T21:29:00Z,UN/CEFACT,accessed date pinned,unit-code exchange vocabulary verified,exact release and accepted subset must be pinned in implementation
SRC-014,2026-09-06T21:29:00Z,W3C,pinned 2017,sensor observation procedure result and feature semantics verified,does not by itself establish authoritative consumption
SRC-015,2026-09-06T21:29:00Z,OGC,pinned 1.1,Thing Sensor Datastream Observation and ObservedProperty semantics verified,server conformance and extensions need testing
SRC-016,2026-09-06T21:29:00Z,QUDT.org,accessed date pinned,quantity kind unit dimension and conversion semantics verified,production use must pin ontology release and license
SRC-017,2026-09-06T21:29:00Z,Regenstrief Institute,accessed date pinned,machine-processable unit expressions verified,quantity-kind meaning and domain constraints remain separate
SRC-018,2026-09-06T21:29:00Z,IETF,pinned RFC 3339,seconds and explicit offset timestamp requirement verified,interval and semantic clock kinds require model rules
SRC-019,2026-09-06T21:29:00Z,W3C,pinned 2013,entity activity agent derivation revision and invalidation semantics verified,domain authority is not established by provenance alone
SRC-020,2026-09-06T21:29:00Z,W3C,pinned 2016,quality measurement annotation policy and provenance semantics verified,note status and local metric definitions must remain explicit
SRC-021,2026-09-06T21:29:00Z,W3C,pinned 2.2,purpose permission prohibition duty and constraint model verified,legal enforceability depends on jurisdiction and agreement
SRC-022,2026-09-06T21:29:00Z,GRI,pinned 2016,materials used by weight or volume and recycled-input reporting verified,reporting profile is not an operational material master
SRC-023,2026-09-06T21:29:00Z,GRI,pinned 2016,energy consumption intensity and reduction reporting context verified,reported metrics do not replace source measurements
SRC-024,2026-09-06T21:29:00Z,GRI,pinned 2018,water withdrawal discharge consumption and impact reporting context verified,reporting boundaries and sector rules require local validation
