source_id,url,verification,status,checked_at,notes
SRC-001,https://docs.oasis-open.org/ubl/UBL-2.3.html,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official OASIS UBL 2.3 standard with Order Cancellation and Credit Note schemas."
SRC-002,https://service.unece.org/trade/untdid/d00a/trmd/retann_c.htm,verified-web-index-direct-403,primary-official,2026-09-06T15:42:00Z,"Official UN/EDIFACT D.00A RETANN page; indexed live content verified while automated direct access was publisher-blocked."
SRC-003,https://service.unece.org/trade/untdid/d00a/trmd/retins_c.htm,verified-web-index-direct-403,primary-official,2026-09-06T15:42:00Z,"Official UN/EDIFACT D.00A RETINS page; official directory listing and indexed content verified while automated direct access was publisher-blocked."
SRC-004,https://www.iso20022.org/iso-20022-message-definitions?search=pacs.004,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official ISO 20022 catalogue lists pacs.004.001.15 PaymentReturnV15 as current on 19 March 2026."
SRC-005,https://eur-lex.europa.eu/eli/dir/2011/83/oj,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official EUR-Lex consumer-rights directive entry with withdrawal return and reimbursement duties."
SRC-006,https://eur-lex.europa.eu/eli/dir/2019/771/oj,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official EUR-Lex sale-of-goods directive entry with conformity and remedy rules."
SRC-007,https://eur-lex.europa.eu/eli/dir/2019/770/oj,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official EUR-Lex digital-content directive entry with termination reimbursement and content-access duties."
SRC-008,https://www.ifrs.org/content/dam/ifrs/publications/pdf-standards/english/2023/issued/part-a/ifrs-15-revenue-from-contracts-with-customers.pdf?bypass=on,verified-web-index-login-redirect,primary-official,2026-09-06T15:42:00Z,"Official IFRS issued-standard result verified for right-of-return refund liability and recovery asset; direct retrieval redirected to sign-in."
SRC-009,https://ref.gs1.org/standards/epcis/2.0.1/,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official GS1 EPCIS 2.0.1 standard for traceability events and condition observations."
SRC-010,https://ref.gs1.org/standards/cbv/2.0.0/,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official GS1 CBV 2.0 standard with returned recalled disposed and other dispositions."
SRC-011,https://schema.org/MerchantReturnPolicy,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Canonical Schema.org V30.0 type page for return windows methods fees labels conditions and refund types."
SRC-012,https://uncitral.un.org/en/texts/salegoods,verified-prior-direct-current-403,primary-official,2026-09-06T15:42:00Z,"Official UNCITRAL CISG portal; prior direct verification retained and current automated access returned publisher 403."
SRC-013,https://eur-lex.europa.eu/eli/reg/2023/988/oj,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official EUR-Lex General Product Safety Regulation entry with recall remedy and refund rules."
SRC-014,https://www.rfc-editor.org/rfc/rfc3339.html,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official RFC Editor HTML for RFC 3339."
SRC-015,https://www.w3.org/TR/prov-o/,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official W3C Recommendation."
SRC-016,https://www.w3.org/TR/vocab-dqv/,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official W3C Working Group Note."
SRC-017,https://www.w3.org/TR/odrl-model/,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official W3C Recommendation."
SRC-018,https://spec.openapis.org/oas/v3.1.1.html,verified-direct-official,primary-official,2026-09-06T15:42:00Z,"Official OpenAPI 3.1.1 specification."
