"sequence","model_id","name","registry_id","entry_kind","nav_path","domain_tags","priority_score","priority_confidence","registry_review_state","stream_status"
"92","WM-ACT-014","Health Care Delivery","vr.wm-act-014","standalone-mm","NAV.ACT.HCR","ACT.HCR","77","low","migration-boundary-review","queued"
"98","WM-ECO-001","Market / Exchange","vr.wm-eco-001","standalone-mm","NAV.SOC.ECO.MKT","SOC.ECO.MKT","77","low","first-pass-reviewed","queued"
"104","WM-OBJ-007","Vehicle","vr.wm-obj-007","standalone-mm","NAV.PHY.OBJ.VEH","PHY.OBJ.VEH","77","low","migration-boundary-review","queued"
"110","WM-PLC-002","Land Parcel","vr.wm-plc-002","standalone-mm","NAV.PHY.PLC.PAR","PHY.PLC.PAR","77","low","migration-boundary-review","queued"
"116","WM-SFT-006","Vulnerability Record","vr.wm-sft-006","standalone-mm","NAV.INF.SFT.VUL","INF.SFT.VUL","77","low","migration-boundary-review","queued"
"122","WM-ACT-029","Program / Portfolio","vr.wm-act-029","standalone-mm","NAV.ACT.PGM","ACT.PGM","74","low","boundary-review-required","queued"
"128","WM-ACT-040","Onboarding / Offboarding","vr.wm-act-040","standalone-mm","NAV.ACT.HR","ACT.HR","74","low","boundary-review-required","queued"
"134","WM-ACT-048","Medication Order / Administration","vr.wm-act-048","standalone-mm","NAV.ACT.HCR","ACT.HCR","74","low","boundary-review-required","queued"
"140","WM-AI-006","Model Training / Fine-tuning Run","vr.wm-ai-006","standalone-mm","NAV.INF.AI.TRN","INF.AI.TRN","74","low","boundary-review-required","queued"
"146","WM-DAT-008","Data Catalog Entry / Data Product","vr.wm-dat-008","standalone-mm","NAV.INF.DAT.CAT","INF.DAT.CAT","74","low","boundary-review-required","queued"
"152","WM-ECO-022","Subscription","vr.wm-eco-022","standalone-mm","NAV.SOC.ECO.SUB","SOC.ECO.SUB","74","low","boundary-review-required","queued"
"158","WM-ECO-028","Advertisement / Promotion","vr.wm-eco-028","standalone-mm","NAV.SOC.ECO.ADS","SOC.ECO.ADS","74","low","boundary-review-required","queued"
"164","WM-ECO-035","Audit / Assurance Engagement","vr.wm-eco-035","standalone-mm","NAV.SOC.ECO.AUD","SOC.ECO.AUD","74","low","boundary-review-required","queued"
"170","WM-FLW-011","Shipment / Consignment","vr.wm-flw-011","standalone-mm","NAV.PHY.FLW.LOG","PHY.FLW.LOG","74","low","boundary-review-required","queued"
"176","WM-KNW-016","Assumption","vr.wm-knw-016","standalone-mm","NAV.INF.KNW.ASM","INF.KNW.ASM","74","low","boundary-review-required","queued"
"182","WM-MED-003","Publication / Edition","vr.wm-med-003","standalone-mm","NAV.INF.MED.PUB","INF.MED.PUB","74","low","boundary-review-required","queued"
"188","WM-ORG-011","Business Establishment / Branch","vr.wm-org-011","standalone-mm","NAV.SOC.ORG.EST","SOC.ORG.EST","74","low","boundary-review-required","queued"
"194","WM-ORG-019","Organization Policy","vr.wm-org-019","standalone-mm","NAV.SOC.ORG.POL","SOC.ORG.POL","74","low","boundary-review-required","queued"
"200","WM-POL-019","Legal Filing / Pleading","vr.wm-pol-019","standalone-mm","NAV.SOC.POL.FIL","SOC.POL.FIL","74","low","boundary-review-required","queued"
"206","WM-REC-008","Certificate / Credential Record","vr.wm-rec-008","standalone-mm","NAV.INF.REC.CRT","INF.REC.CRT","74","low","boundary-review-required","queued"
"212","WM-SFT-011","Software Configuration","vr.wm-sft-011","standalone-mm","NAV.INF.SFT.CFG","INF.SFT.CFG","74","low","boundary-review-required","queued"
"218","WM-XCT-035","Retention / Disposition","vr.wm-xct-035","mixin","NAV.XCT.RET","XCT.RET","74","low","boundary-review-required","queued"
"224","WM-XCT-015","Event Register","vr.wm-xct-015","pattern","NAV.XCT.EVREG","XCT.EVREG","65","low","migration-boundary-review","queued"
"230","WM-ACT-004","Service","vr.wm-act-004","standalone-mm","NAV.ACT.SRV","ACT.SRV","63","low","migration-boundary-review","queued"
"236","WM-ACT-016","Observed Phenomenon","vr.wm-act-016","pattern","NAV.ACT.EVT.OBS","ACT.EVT.OBS","63","low","migration-boundary-review","queued"
"242","WM-DAT-003","Map Product","vr.wm-dat-003","standalone-mm","NAV.INF.DAT.MAP","INF.DAT.MAP","63","low","first-pass-reviewed","queued"
"248","WM-ECO-013","Crypto / Token","vr.wm-eco-013","standalone-mm","NAV.SOC.ECO.TOK","SOC.ECO.TOK","63","low","first-pass-reviewed","queued"
"254","WM-MED-001","Creative Work","vr.wm-med-001","standalone-mm","NAV.INF.MED.WRK","INF.MED.WRK","63","low","migration-boundary-review","queued"
"260","WM-PER-005","Population Group","vr.wm-per-005","standalone-mm","NAV.SOC.PER.GRP","SOC.PER.GRP","63","low","migration-boundary-review","queued"
"266","WM-POL-006","Border / Customs / Migration","vr.wm-pol-006","category-split-required","NAV.SOC.POL.BRD","SOC.POL.BRD","63","low","migration-boundary-review","queued"
