source_id,organization,url,verification,checked_at,notes
SRC-001,"IMF, BIS and ECB",https://www.imf.org/-/media/files/data/statistics/wgsd/hss.pdf,official-pdf-verified,2026-09-06T19:38:00Z,"Official handbook verified securities, positions, flows, holders, issuers, revaluations and accounting distinctions."
SRC-002,European Central Bank,https://data.ecb.europa.eu/methodology/securities-holdings-statistics,official-methodology-verified,2026-09-06T19:38:00Z,"Official methodology verified security-by-security positions, transactions, custody sources and CSDB enrichment."
SRC-003,"European Central Bank and European Union",https://eur-lex.europa.eu/eli/reg/2012/1011/2018-10-01/eng,official-law-verified,2026-09-06T19:38:00Z,"Official consolidated regulation verified position and regional reporting definitions."
SRC-004,"European Central Bank and European Union",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02013O0007-20260410,official-law-verified,2026-09-06T19:38:00Z,"Official current consolidated guideline verified reporting and data-quality framework."
SRC-005,IFRS Foundation,https://www.ifrs.org/issued-standards/list-of-standards/ifrs-9-financial-instruments/,official-index-verified,2026-09-06T19:38:00Z,"Official issued-standard page verified scope; licensed text was not reproduced."
SRC-006,IFRS Foundation,https://www.ifrs.org/issued-standards/list-of-standards/ias-32-financial-instruments-presentation/,official-index-verified,2026-09-06T19:38:00Z,"Official issued-standard page verified financial asset, liability and equity presentation context."
SRC-007,European Union,https://eur-lex.europa.eu/eli/reg/2014/909/2024-01-16/eng,official-law-verified,2026-09-06T19:38:00Z,"Official consolidated CSDR verified book-entry, accounts, segregation, settlement and issue-integrity boundaries."
SRC-008,European Union,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02007L0036-20240109,official-law-verified,2026-09-06T19:38:00Z,"Official consolidated directive verified regional shareholder-identification and rights-facilitation profile."
SRC-009,European Union,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX%3A32018R1212,official-law-pdf-verified,2026-09-06T19:38:00Z,"Official implementing regulation verified shareholder identity and general-meeting message fields."
SRC-010,United States Securities and Exchange Commission,https://www.sec.gov/about/divisions-offices/division-corporation-finance/information-certain-types-transactions-filers,official-regulator-page-verified,2026-09-06T19:38:00Z,"Official SEC page verified Regulation 13D-G and Schedule 13D or 13G disclosure scope."
SRC-011,International Organization for Standardization,https://www.iso.org/standard/78502.html,official-catalogue-verified,2026-09-06T19:38:00Z,"Official ISO page verified ISO 6166:2021 identity."
SRC-012,International Organization for Standardization,https://www.iso.org/standard/81140.html,official-catalogue-verified,2026-09-06T19:38:00Z,"Official ISO page verified ISO 10962:2021 edition 5 and classifier scope."
SRC-013,International Organization for Standardization,https://www.iso.org/standard/78829.html,official-catalogue-verified,2026-09-06T19:38:00Z,"Official ISO page verified ISO 17442-1:2020 identity."
SRC-014,International Organization for Standardization,https://www.iso.org/iso-4217-currency-codes.html,official-maintenance-page-verified,2026-09-06T19:38:00Z,"Official maintenance page verified currency-code authority."
SRC-015,Object Management Group,https://www.omg.org/spec/FIGI,official-specification-page-verified,2026-09-06T19:38:00Z,"Official page verified FIGI 1.2 as formal March 2026 release; beta material was excluded."
SRC-016,EDM Council,https://spec.edmcouncil.org/fibo/index.html,official-index-verified,2026-09-06T19:38:00Z,"Official FIBO index verified modular ontology and format-independent semantics."
SRC-017,EDM Council,https://spec.edmcouncil.org/fibo/ontology/SEC/Securities/SecurityAssets/,official-ontology-page-verified,2026-09-06T19:38:00Z,"Official master/latest security-assets page verified; production-release hold retained."
SRC-018,EDM Council,https://spec.edmcouncil.org/fibo/ontology/CAE/CorporateEvents/SecurityRelatedCorporateActions/,official-ontology-page-verified,2026-09-06T19:38:00Z,"Official master/latest corporate-actions page verified; production-release hold retained."
SRC-019,EDM Council,https://spec.edmcouncil.org/fibo/page/owl,official-release-guidance-verified,2026-09-06T19:38:00Z,"Official page verified production-versus-development release distinction."
SRC-020,ISO 20022 Registration Authority,https://www.iso20022.org/iso-20022-message-definitions?business-domain%5B0%5D=6&search=seev,official-catalogue-verified,2026-09-06T19:38:00Z,"Official catalogue verified March 2026 corporate-action message family and versions."
SRC-021,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339.html,official-standard-verified,2026-09-06T19:38:00Z,"Official RFC verified timestamp syntax and offset semantics."
SRC-022,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,official-recommendation-verified,2026-09-06T19:38:00Z,"Official W3C Recommendation verified provenance semantics."
SRC-023,World Wide Web Consortium,https://www.w3.org/TR/vocab-dqv/,official-note-verified,2026-09-06T19:38:00Z,"Official W3C note verified quality vocabulary scope."
SRC-024,World Wide Web Consortium,https://www.w3.org/TR/odrl-model/,official-recommendation-verified,2026-09-06T19:38:00Z,"Official W3C Recommendation verified policy semantics."
