source_id,verified_at,authority,version_status,claim_check,limitations
"SRC-001","2026-09-07T10:02:00Z","WHO","ICD-11 2026 release","Official classification page identifies ICD-11 as the international disease and health-condition classification","Classification and coding do not create an individual condition occurrence"
"SRC-002","2026-09-07T10:02:00Z","WHO","ICD API version 2 and service 2.6","Official API documentation defines authenticated programmatic access and release selection","Clients must pin a supported release and language"
"SRC-003","2026-09-07T10:02:00Z","WHO","ICD-11 release 2026-01 listed","Official supported-classifications page publishes release and language identifiers","Supported service releases may change"
"SRC-004","2026-09-07T10:02:00Z","WHO","Living ICD-11 Reference Guide","Official guide explains foundation entities, linearizations, coding and postcoordination","Profile and release must be pinned for conformance"
"SRC-005","2026-09-07T10:02:00Z","WHO","Official ICF classification","Official page frames functioning, disability and contextual factors separately from diseases","Implementation details vary across health and social contexts"
"SRC-006","2026-09-07T10:02:00Z","SNOMED International","Living editorial guide","Official guide distinguishes disorders from findings and models pathological processes","SNOMED CT use is licensed and requires edition and release pins"
"SRC-007","2026-09-07T10:02:00Z","SNOMED International","Living concept-model guide","Official guide documents attribute-based clinical concept modeling","Permitted attributes depend on domain and release"
"SRC-008","2026-09-07T10:02:00Z","HL7 International","FHIR R5 5.0.0 Trial Use","Official resource separates clinical and verification status, onset, abatement, stage and evidence","Condition is Trial Use and is an exchange resource, not a mastership rule"
"SRC-009","2026-09-07T10:02:00Z","HL7 International","FHIR R5 5.0.0 Trial Use","Official resource separates assessment, differential and prognosis from Condition","ClinicalImpression is Trial Use and local workflow semantics differ"
"SRC-010","2026-09-07T10:02:00Z","HL7 International","FHIR R5 5.0.0","Official Observation resource separates measurements and findings from diagnoses","Only exact profiles and normative portions support conformance claims"
"SRC-011","2026-09-07T10:02:00Z","OHDSI","OMOP CDM 5.4","Official CDM defines condition occurrence and derived condition era analytics records","Analytics conventions and era windows are not biological truth"
"SRC-012","2026-09-07T10:02:00Z","Monarch Initiative","Living Mondo release","Official ontology harmonizes disease concepts, definitions and mappings","Mappings and source concepts require exact release pins"
"SRC-013","2026-09-07T10:02:00Z","Disease Ontology Project","Monthly releases","Official ontology provides stable human disease definitions and hierarchy","Human scope and living releases limit universal use"
"SRC-014","2026-09-07T10:02:00Z","Orphanet","Living Orphadata classifications","Official service provides rare-disease identifiers and polyhierarchical classifications","Coverage, classification and update cadence are specialty-dependent"
"SRC-015","2026-09-07T10:02:00Z","Monarch Initiative","Living HPO release","Official ontology defines phenotypic abnormalities and annotations","A phenotype term or annotation is not a disease occurrence"
"SRC-016","2026-09-07T10:02:00Z","GA4GH","Phenopacket Schema 2 documentation","Official documentation models disease diagnoses or hypotheses separately from phenotypic features","Production use must pin the exact schema release and profile"
"SRC-017","2026-09-07T10:02:00Z","ClinGen","Living gene-disease validity framework","Official framework assigns evidence-based strength to a gene-disease relationship","Relationship validity is not a diagnosis or molecular-cause assertion for one organism"
"SRC-018","2026-09-07T10:02:00Z","CDC and CSTE","Current and historical surveillance definitions","Official service defines uniform surveillance classification criteria and disclaims clinical-diagnosis use","Definitions are jurisdictional and change by condition and year"
"SRC-019","2026-09-07T10:02:00Z","National Cancer Institute","Living NCI Thesaurus","Official page identifies NCIt as NCI reference terminology and biomedical ontology","Cancer-focused terminology is not universal disease identity"
"SRC-020","2026-09-07T10:02:00Z","W3C","Recommendation dated 30 April 2013","Official ontology defines provenance entities, activities, agents, derivation and invalidation","Domain-specific clinical provenance constraints remain required"
"SRC-021","2026-09-07T10:02:00Z","W3C","Working Group Note dated 15 December 2016","Official vocabulary defines quality measurements, annotations and policies","DQV supplies vocabulary rather than domain quality thresholds"
"SRC-022","2026-09-07T10:02:00Z","W3C","Recommendation dated 15 February 2018","Official model defines permissions, prohibitions, duties and constraints","Legal effect and enforcement depend on jurisdiction and implementation"
"SRC-023","2026-09-07T10:02:00Z","IETF","RFC 3339 dated July 2002","Official RFC defines Internet timestamps with seconds and explicit offsets","Clinical uncertainty and partial dates need separate modeling"
"SRC-024","2026-09-07T10:02:00Z","IETF Independent Stream","RFC 8785 dated June 2020","Official RFC defines deterministic JSON canonicalization","Canonical bytes do not establish semantic identity or truth"
