source_id,verified_at,authority,version_status,claim_check,limitations
SRC-001,2026-09-06T21:59:00Z,ISO,pinned 2018 confirmed 2024,requirements engineering process and information-item scope verified,licensed standard detail requires exact implementation access
SRC-002,2026-09-06T21:59:00Z,OMG,pinned 2.0 September 2025,system and requirement modeling and relation scope verified,implementation profiles require exact release conformance
SRC-003,2026-09-06T21:59:00Z,OMG,pinned 2.4,declarative constraints invariants preconditions and postconditions verified,OCL is a model constraint language not a universal rule authority
SRC-004,2026-09-06T21:59:00Z,OMG,pinned 1.5,business vocabulary fact type rule modality and formulation scope verified,business rules do not define every legal or technical requirement
SRC-005,2026-09-06T21:59:00Z,OMG,pinned 1.5,decision requirements inputs and FEEL expression scope verified,decision logic does not replace accountable decision authority
SRC-006,2026-09-06T21:59:00Z,W3C,pinned 2017,RDF graph constraints targets severity validation and reports verified,SHACL conformance is not substantive correctness or legal compliance
SRC-007,2026-09-06T21:59:00Z,W3C,pinned 2012,ontology axioms class expressions and restrictions verified,open-world inference differs from closed-world validation
SRC-008,2026-09-06T21:59:00Z,W3C,pinned 2013,graph patterns expressions filters and result semantics verified,query results depend on dataset and entailment profile
SRC-009,2026-09-06T21:59:00Z,W3C,pinned 2.2,permissions prohibitions duties constraints operands and operators verified,legal enforceability depends on jurisdiction and agreement
SRC-010,2026-09-06T21:59:00Z,W3C,pinned 2013,inference uniqueness ordering normalization and validity constraints verified,PROV validity is not universal data or policy validity
SRC-011,2026-09-06T21:59:00Z,W3C,pinned 2013,entity activity agent attribution derivation revision and invalidation verified,provenance does not establish truth or authority
SRC-012,2026-09-06T21:59:00Z,W3C,pinned 2016,quality measurement annotation policy and provenance scope verified,note status and local metric semantics remain explicit
SRC-013,2026-09-06T21:59:00Z,OASIS,pinned 1.0 August 2021,legal normative temporal authority and defeasibility metadata verified,legal effect requires jurisdiction-specific review
SRC-014,2026-09-06T21:59:00Z,OASIS,pinned 3.0 Errata 01,policy sets targets effects combining requests and decisions verified,authorization result is not general compliance or safety
SRC-015,2026-09-06T21:59:00Z,JSON Schema,pinned 2020-12,JSON constraints annotations vocabularies and evaluation scope verified,validation result depends on dialect and implementation
SRC-016,2026-09-06T21:59:00Z,ISO,pinned 2025,rule-based XML validation assertions and query-language scope verified,licensed details and query binding require exact profile
SRC-017,2026-09-06T21:59:00Z,OpenAPI Initiative,pinned 3.1.1,API contracts schemas parameters responses and security requirements verified,contract description does not prove implementation behavior
SRC-018,2026-09-06T21:59:00Z,NIST,pinned OSCAL 1.1.3,machine-readable control catalog profile implementation and assessment scope verified,OSCAL artifacts do not determine compliance alone
SRC-019,2026-09-06T21:59:00Z,NIST,pinned SP 800-53 Rev 5 Update 1,control requirements parameters enhancements and assessment context verified,control selection and compliance remain organization-specific
SRC-020,2026-09-06T21:59:00Z,IETF,pinned RFC 2119,normative MUST SHOULD MAY keyword meanings verified,keywords carry force only in an adopting specification context
SRC-021,2026-09-06T21:59:00Z,IETF,pinned RFC 8174,uppercase normative-keyword applicability clarification verified,lowercase wording and uninvoiced use remain ordinary language
SRC-022,2026-09-06T21:59:00Z,IETF,pinned RFC 3339,seconds and explicit offset timestamp rule verified,semantic clock kinds require model rules
SRC-023,2026-09-06T21:59:00Z,IETF,pinned RFC 8785,deterministic JSON canonicalization for hashing and signing verified,canonical bytes do not establish semantic identity by themselves
SRC-024,2026-09-06T21:59:00Z,CNCF Open Policy Agent,accessed date pinned,declarative Rego policy evaluation inputs outputs and conflict scope verified,engine behavior requires version and built-in profile pins
