"sequence","model_id","name","registry_id","entry_kind","nav_path","domain_tags","priority_score","priority_confidence","registry_review_state","stream_status"
"91","WM-ACT-007","Work Order","vr.wm-act-007","standalone-mm","NAV.ACT.WO","ACT.WO","77","low","migration-boundary-review","queued"
"97","WM-DAT-002","Official Statistics","vr.wm-dat-002","standalone-mm","NAV.INF.DAT.STA","INF.DAT.STA","77","low","migration-boundary-review","queued"
"103","WM-LIV-001","Taxon","vr.wm-liv-001","standalone-mm","NAV.PHY.LIV.TAX","PHY.LIV.TAX","77","low","migration-boundary-review","queued"
"109","WM-PER-008","Education / Qualification","vr.wm-per-008","standalone-mm","NAV.SOC.PER.EDU","SOC.PER.EDU","77","low","migration-boundary-review","queued"
"115","WM-POL-011","Tax Obligation / Assessment","vr.wm-pol-011","standalone-mm","NAV.SOC.POL.TAX","SOC.POL.TAX","77","low","first-pass-reviewed","queued"
"121","WM-ACT-028","Campaign","vr.wm-act-028","standalone-mm","NAV.ACT.CAM","ACT.CAM","74","low","boundary-review-required","queued"
"127","WM-ACT-039","Recruitment / Hiring Process","vr.wm-act-039","standalone-mm","NAV.ACT.HR","ACT.HR","74","low","boundary-review-required","queued"
"133","WM-ACT-047","Medical Procedure","vr.wm-act-047","standalone-mm","NAV.ACT.HCR","ACT.HCR","74","low","boundary-review-required","queued"
"139","WM-ACT-054","Research Subject / Participant","vr.wm-act-054","standalone-mm","NAV.ACT.RES","ACT.RES","74","low","boundary-review-required","queued"
"145","WM-DAT-007","Data Quality Assessment","vr.wm-dat-007","standalone-mm","NAV.INF.DAT.QLT","INF.DAT.QLT","74","low","boundary-review-required","queued"
"151","WM-ECO-021","Offer / Quote","vr.wm-eco-021","standalone-mm","NAV.SOC.ECO.OFR","SOC.ECO.OFR","74","low","boundary-review-required","queued"
"157","WM-ECO-027","Marketing Campaign","vr.wm-eco-027","standalone-mm","NAV.SOC.ECO.MKTG","SOC.ECO.MKTG","74","low","boundary-review-required","queued"
"163","WM-ECO-034","ESG / Sustainability Disclosure","vr.wm-eco-034","standalone-mm","NAV.SOC.ECO.ESG","SOC.ECO.ESG","74","low","boundary-review-required","queued"
"169","WM-FLW-010","Route / Itinerary","vr.wm-flw-010","standalone-mm","NAV.PHY.FLW.MOB","PHY.FLW.MOB","74","low","boundary-review-required","queued"
"175","WM-KNW-013","Constraint / Requirement Rule","vr.wm-knw-013","standalone-mm","NAV.INF.KNW.CNS","INF.KNW.CNS","74","low","boundary-review-required","queued"
"181","WM-MED-002","Media Asset / Rendition","vr.wm-med-002","standalone-mm","NAV.INF.MED.AST","INF.MED.AST","74","low","boundary-review-required","queued"
"187","WM-OBJ-020","Inventory Stock Position","vr.wm-obj-020","standalone-mm","NAV.PHY.OBJ.INV","PHY.OBJ.INV","74","low","boundary-review-required","queued"
"193","WM-ORG-018","Governance Body / Committee","vr.wm-org-018","standalone-mm","NAV.SOC.ORG.GOV","SOC.ORG.GOV","74","low","boundary-review-required","queued"
"199","WM-POL-018","Public Service / Government Service","vr.wm-pol-018","standalone-mm","NAV.SOC.POL.SRV","SOC.POL.SRV","74","low","boundary-review-required","queued"
"205","WM-POL-029","Migration / Residency Status","vr.wm-pol-029","standalone-mm","NAV.SOC.POL.MIG","SOC.POL.MIG","74","low","boundary-review-required","queued"
"211","WM-SFT-010","Runtime / Compute Environment","vr.wm-sft-010","standalone-mm","NAV.INF.SFT.RUN","INF.SFT.RUN","74","low","boundary-review-required","queued"
"217","WM-XCT-030","Notification / Subscription","vr.wm-xct-030","mixin","NAV.XCT.NTF","XCT.NTF","74","low","boundary-review-required","queued"
"223","WM-XCT-014","Ledger / Account","vr.wm-xct-014","pattern","NAV.XCT.LED","XCT.LED","65","low","migration-boundary-review","queued"
"229","WM-ACT-003","Process / Workflow","vr.wm-act-003","standalone-mm","NAV.ACT.PRC","ACT.PRC","63","low","migration-boundary-review","queued"
"235","WM-ACT-013","Maintenance","vr.wm-act-013","standalone-mm","NAV.ACT.MNT","ACT.MNT","63","low","migration-boundary-review","queued"
"241","WM-COM-001","Communications Service","vr.wm-com-001","standalone-mm","NAV.INF.COM.SVC","INF.COM.SVC","63","low","migration-boundary-review","queued"
