source_id,organization,title,url,version_or_date,live_status,claim_support_status,notes
SRC-001,European Union,Directive 2011/83/EU on consumer rights,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011L0083,Consolidated context current at access,verified,verified,Official legislation supports subscription price duration renewal termination payment and disclosure context.
SRC-002,European Union,Directive EU 2019/770,https://eur-lex.europa.eu/eli/dir/2019/770,Directive 2019-05-20,verified,verified,Official legislation supports continuous digital supply modification conformity termination and reimbursement context.
SRC-003,UNIDROIT,UNIDROIT Principles 2016,https://www.unidroit.org/instruments/commercial-contracts/unidroit-principles-2016/,Fourth edition 2016,verified,verified,Official principles support agreement authority performance termination and long-term contract context.
SRC-004,TM Forum,Open API Directory,https://www.tmforum.org/open-digital-architecture/open-apis,Directory accessed 2026-09-06,verified-web-index-direct-403,verified,Official registry separates catalogue inventory ordering usage billing payment agreement privacy and dunning APIs; publisher blocks direct automated access.
SRC-005,TM Forum,Product Inventory Management API TMF637,https://www.tmforum.org/open-digital-architecture/open-apis/product-inventory-management-api-TMF637/v4.0,TMF637 v4.0 page updated 2024-11-07,verified-web-index-direct-403,verified,Official API page supports installed product instance projections; publisher blocks direct automated access.
SRC-006,TM Forum,Product Catalog Management API User Guide TMF620,https://www.tmforum.org/resources/specification/tmf620-product-catalog-management-api-user-guide-v5-0-0/,Version 5.0.0,verified-web-index-direct-403,verified,Official guide supports offering specification catalogue and price version references; publisher blocks direct automated access.
SRC-007,TM Forum,Customer Bill Management API TMF678,https://www.tmforum.org/open-digital-architecture/open-apis/customer-bill-management-api-TMF678/v5.0,Stable v5.0 updated 2026-05-08,verified-web-index-direct-403,verified,Official API separates bills and applied rates from subscription identity; publisher blocks direct automated access.
SRC-008,TM Forum,Usage Consumption Management API TMF677,https://www.tmforum.org/resources/standard/tmf677-usage-consumption-management-api-user-guide-v4-0-0/,Forum Approved 2021-11-19,verified-web-index-direct-403,verified,Official guide supports used remaining global and out-of-bucket usage observations; publisher blocks direct automated access.
SRC-009,Schema.org Community Group,UnitPriceSpecification,https://schema.org/UnitPriceSpecification,Schema.org V30.0 2026-03-19,verified,verified,Publisher vocabulary supports billing duration increment start price component and reference quantity.
SRC-010,Schema.org Community Group,Offer,https://schema.org/Offer,Schema.org V30.0 2026-03-19,verified,verified,Publisher vocabulary supports offered item seller eligibility validity and price projections.
SRC-011,W3C,ODRL Information Model 2.2,https://www.w3.org/TR/odrl-model/,W3C Recommendation 2018-02-15,verified,verified,Official standard supports permission prohibition duty constraint offer and agreement projections.
SRC-012,European Payments Council,SEPA Direct Debit Core Rulebook,https://www.europeanpaymentscouncil.eu/what-we-do/epc-payment-schemes/sepa-direct-debit/sepa-direct-debit-core-rulebook-and-implementation,2025 version 1.1 current through 2027-11-21,verified-web-index-direct-403,verified,Official scheme page supports recurring mandate and direct-debit boundary context; publisher blocks direct automated access.
SRC-013,IETF,RFC 5545,https://www.rfc-editor.org/info/rfc5545/,RFC 5545 September 2009,verified,verified,Official RFC metadata supports recurrence timezone count until and exception semantics.
SRC-014,IETF,RFC 3339,https://www.rfc-editor.org/info/rfc3339/,RFC 3339 July 2002 updated by RFC 9557,verified,verified,Official RFC metadata supports timestamps with seconds and offset.
SRC-015,W3C,PROV-O,https://www.w3.org/TR/prov-o/,W3C Recommendation 2013-04-30,verified,verified,Official ontology supports attribution derivation revision and qualified provenance.
SRC-016,W3C,Data Quality Vocabulary,https://www.w3.org/TR/vocab-dqv/,W3C Working Group Note 2016-12-15,verified,verified,Official vocabulary supports quality metrics measurements and annotations.
SRC-017,SIX Financial Information,Global Financial Data Standards ISO 4217,https://www.six-group.com/en/products-services/financial-information/market-reference-data/data-standards.html,Maintenance Agency lists current at access,verified,verified,Official Maintenance Agency page supports current currency and minor-unit identifiers.
SRC-018,OpenAPI Initiative,OpenAPI Specification 3.1.1,https://spec.openapis.org/oas/v3.1.1.html,Version 3.1.1 2024-10-24,verified,verified,Official specification supports HTTP API projection contracts.
