"sequence","model_id","name","registry_id","entry_kind","nav_path","domain_tags","priority_score","priority_confidence","registry_review_state","stream_status"
"93","WM-ACT-020","Cyber Incident","vr.wm-act-020","standalone-mm","NAV.ACT.CYB","ACT.CYB","77","low","migration-boundary-review","queued"
"99","WM-ECO-002","Price / Valuation","vr.wm-eco-002","standalone-mm","NAV.SOC.ECO.PRC","SOC.ECO.PRC","77","low","migration-boundary-review","queued"
"105","WM-ORG-005","Employment","vr.wm-org-005","standalone-mm","NAV.SOC.ORG.EMP","SOC.ORG.EMP","77","low","migration-boundary-review","queued"
"111","WM-PLC-004","Administrative Area","vr.wm-plc-004","standalone-mm","NAV.PHY.PLC.ADM","PHY.PLC.ADM","77","low","migration-boundary-review","queued"
"117","WM-XCT-006","Verification / ZK Attestation","vr.wm-xct-006","mixin","NAV.XCT.PRF","XCT.PRF","77","low","migration-boundary-review","queued"
"123","WM-ACT-030","Initiative","vr.wm-act-030","standalone-mm","NAV.ACT.INI","ACT.INI","74","low","boundary-review-required","queued"
"129","WM-ACT-043","Business Continuity / Recovery","vr.wm-act-043","standalone-mm","NAV.ACT.RESIL","ACT.RESIL","74","low","boundary-review-required","queued"
"135","WM-ACT-049","Care Plan / Episode","vr.wm-act-049","standalone-mm","NAV.ACT.HCR","ACT.HCR","74","low","boundary-review-required","queued"
"141","WM-AI-007","AI Model Registry Entry","vr.wm-ai-007","standalone-mm","NAV.INF.AI.REG","INF.AI.REG","74","low","boundary-review-required","queued"
"147","WM-DAT-009","Survey / Questionnaire","vr.wm-dat-009","standalone-mm","NAV.INF.DAT.SRV","INF.DAT.SRV","74","low","boundary-review-required","queued"
"153","WM-ECO-023","Reservation / Booking","vr.wm-eco-023","standalone-mm","NAV.SOC.ECO.RSV","SOC.ECO.RSV","74","low","boundary-review-required","queued"
"159","WM-ECO-030","Grant / Donation","vr.wm-eco-030","standalone-mm","NAV.SOC.ECO.GNT","SOC.ECO.GNT","74","low","boundary-review-required","queued"
"165","WM-ECO-036","Insurance Claim","vr.wm-eco-036","standalone-mm","NAV.SOC.ECO.INS","SOC.ECO.INS","74","low","boundary-review-required","queued"
"171","WM-FLW-012","Inventory Movement","vr.wm-flw-012","standalone-mm","NAV.PHY.FLW.LOG","PHY.FLW.LOG","74","low","boundary-review-required","queued"
"177","WM-KNW-018","Taxonomy / Classification Scheme","vr.wm-knw-018","standalone-mm","NAV.INF.KNW.TAX","INF.KNW.TAX","74","low","boundary-review-required","queued"
