source_id,http_status,verification,version_note
SRC-001,200,direct-and-indexed,"IFLA LRM repository record redirects to the current item; 2017 text with 2024 corrections and repository version 2"
SRC-002,403,indexed-official-page,"PRESSoo official page identifies version 1.3 as current; local curl received anti-bot response"
SRC-003,200,direct-and-indexed,"RDA Registry reports release 5.4.13"
SRC-004,403,indexed-official-page,"BIBFRAME 2.0 model and Work/Instance/Item boundary confirmed; local curl received anti-bot response"
SRC-005,403,indexed-official-page,"MARC 21 official online format includes Update 42 May 2026; local curl received anti-bot response"
SRC-006,403,indexed-official-page,"MODS official page identifies 3.8 as current; local curl received anti-bot response"
SRC-007,200,direct-official-bitstream,"ISBD 2011 consolidated edition with 2021 update"
SRC-008,200,direct,"DCMI Recommendation page and living latest URL"
SRC-009,200,direct,"Schema.org living CreativeWork vocabulary accessed 2026-09-07"
SRC-010,200,direct-and-indexed,"DataCite 4.7 released 2026-03-03"
SRC-011,200,direct-and-indexed,"Crossref 5.5.0 is current recommended schema"
SRC-012,200,direct-and-indexed,"DOI Handbook version of record September 2025"
SRC-013,200,direct-and-indexed,"ISBN Users' Manual seventh edition"
SRC-014,200,direct-and-indexed,"ISSN guidance reflects ISO 3297 seventh edition June 2022 and current manual"
SRC-015,200,direct,"ONIX for Books Release 3.1 downloads; revision 2 dated 2024-10-28"
SRC-016,200,direct-and-indexed,"NISO JATS 1.4 approved 2024-10-31"
SRC-017,200,direct-and-indexed,"EPUB 3.3 W3C Recommendation 2026-01-13"
SRC-018,200,direct-and-indexed,"EPUB Accessibility 1.1 Recommendation 2024-10-17; 1.2 remains candidate draft"
SRC-019,403,indexed-official-page,"PREMIS 3.0 official page confirmed; local curl received anti-bot response"
SRC-020,200,direct,"PROV-O Recommendation 2013-04-30"
SRC-021,200,direct,"ODRL 2.2 Recommendation 2018-02-15"
SRC-022,200,direct,"IIIF Presentation API 3.0.0"
SRC-023,200,direct,"RFC 3339"
SRC-024,200,direct,"RFC 8785"
