source_id,verified_at,authority,version_status,claim_check,limitations
SRC-001,2026-09-06T21:18:00Z,GS1,pinned 2.0.1,event query source destination clock and error-declaration semantics verified,visibility standard does not prove every real-world assertion
SRC-002,2026-09-06T21:18:00Z,GS1,pinned 2.0.0,business-step disposition and endpoint vocabularies verified,implementation must pin accepted vocabulary extensions
SRC-003,2026-09-06T21:18:00Z,GS1,pinned 2.0,critical tracking event key data element and one-up one-down framing verified,2017 framework supplemented by EPCIS 2.0.1
SRC-004,2026-09-06T21:18:00Z,GS1,accessed date pinned,ObjectEvent instance and class observation scope verified,linked-data documentation follows the EPCIS release
SRC-005,2026-09-06T21:18:00Z,GS1,accessed date pinned,aggregation and disaggregation parent-child semantics verified,membership assertion does not own handling-unit lifecycle
SRC-006,2026-09-06T21:18:00Z,GS1,accessed date pinned,transformation input-output semantics verified,process truth and yield authority remain external
SRC-007,2026-09-06T21:18:00Z,UN/CEFACT,pinned approved 1.1,identified object and multimodal trace boundary verified,implementation mapping needs exact component release
SRC-008,2026-09-06T21:18:00Z,UN/CEFACT,pinned ECE TRADE 466,cross-organizational shipment consignment and asset visibility context verified,white paper is informative rather than schema
SRC-009,2026-09-06T21:18:00Z,UN/CEFACT,pinned July 2026,event registry and scoped delegation model verified,recent BRS needs implementation and conformance evidence
SRC-010,2026-09-06T21:18:00Z,ISO,pinned 22095:2020 plus amendment,generic chain-of-custody framework and model distinction verified,licensed detail and 2026 amendment need profile review
SRC-011,2026-09-06T21:18:00Z,ISO,pinned 22095-2:2026,mass-balance boundary attribution conversion and credit methods verified,does not define physical traceability for every profile
SRC-012,2026-09-06T21:18:00Z,ISO,pinned 22005:2007 confirmed 2022,food-chain history and location system requirements verified,food profile not universal product traceability
SRC-013,2026-09-06T21:18:00Z,ISO,pinned 28000:2022 plus amendment,supply-chain security-management relevance verified,management-system standard not event schema
SRC-014,2026-09-06T21:18:00Z,US FDA,current official rule page accessed date pinned,food critical tracking events key data elements and lot-code duties verified,US food jurisdiction and covered-food scope only
SRC-015,2026-09-06T21:18:00Z,European Union,pinned Regulation EU 2024/1781,Digital Product Passport identity scope interoperability access and retention duties verified,delegated product-group rules remain pending profiles
SRC-016,2026-09-06T21:18:00Z,DCSA,pinned Track and Trace 2.2 documentation,container-shipping event and cross-carrier visibility scope verified,maritime-container modal profile only
SRC-017,2026-09-06T21:18:00Z,IATA,accessed date pinned,federated secured air-cargo data-sharing scope verified,overview must be paired with exact implementation release
SRC-018,2026-09-06T21:18:00Z,IATA,pinned ontology 3.2.0,linked cargo object event and logistics-action semantics verified,ontology is marked draft and modal
SRC-019,2026-09-06T21:18:00Z,IETF,pinned RFC 3339,seconds and explicit offset timestamp profile verified,domain clock semantics remain model-specific
SRC-020,2026-09-06T21:18:00Z,IETF,pinned RFC 8785,deterministic JSON canonicalization purpose verified,canonicalization does not create trust or authenticity
SRC-021,2026-09-06T21:18:00Z,W3C,pinned Recommendation 2013,entity activity agent attribution derivation revision and invalidation verified,provenance alone does not decide truth
SRC-022,2026-09-06T21:18:00Z,W3C,pinned Note 2016,quality measurement annotation policy and provenance verified,application quality dimensions need local policy
SRC-023,2026-09-06T21:18:00Z,W3C,pinned Recommendation 2.2,permission prohibition duty and constraint semantics verified,authorization enforcement remains Dimension-owned
SRC-024,2026-09-06T21:18:00Z,W3C,pinned Recommendation 1.0,integrity-proof and verification-material model verified,cryptographic verification does not prove real-world claim truth
