source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,SKOS Simple Knowledge Organization System Reference,World Wide Web Consortium (W3C),https://www.w3.org/TR/skos-reference/,"W3C Recommendation, 18 August 2009",true,false,true,unverified,unverified,unverified,
SRC-002,"SKOS Simple Knowledge Organization System eXtension for Labels (SKOS-XL), section of the SKOS Reference",World Wide Web Consortium (W3C),https://www.w3.org/TR/skos-reference/skos-xl.html,"W3C Recommendation, 18 August 2009",true,false,true,unverified,unverified,unverified,
SRC-003,SKOS Simple Knowledge Organization System Primer,World Wide Web Consortium (W3C),https://www.w3.org/TR/skos-primer/,"W3C Working Group Note, 18 August 2009",true,false,true,unverified,unverified,unverified,
SRC-004,Lexicon Model for Ontologies: Community Report,W3C Ontology-Lexica Community Group,https://www.w3.org/2016/05/ontolex/,"Final Community Group Report, 10 May 2016",true,false,true,unverified,unverified,unverified,
SRC-005,MVF ISO 1087 Vocabulary for Terms and Definitions (RDF),Object Management Group (OMG),https://www.omg.org/spec/MVF/ISO1087-VocabularyForTermsAndDefinitions.rdf,"OMG-published RDF rendering accompanying MVF 1.1, retrieved 2026-09-02",true,false,true,unverified,unverified,unverified,
SRC-006,Multiple Vocabulary Facility (MVF) specification page,Object Management Group (OMG),https://www.omg.org/spec/MVF/,"Version 1.1 beta, April 2026",true,false,true,unverified,unverified,unverified,
SRC-007,ISO 25964 — the international standard for thesauri and interoperability with other vocabularies,National Information Standards Organization (NISO),https://www.niso.org/schemas/iso25964,"Part 1 published 2011, Part 2 published 2013; SKOS correspondence published 11 December 2013",true,false,true,unverified,unverified,unverified,
SRC-008,SKOS-Thes: ISO 25964 SKOS extension namespace documentation,Dublin Core Metadata Initiative (hosting the ISO 25964 SKOS extension by A. Isaac and J. De Smedt),https://www.dublincore.org/specifications/skos-thes/ns/,"Namespace http://purl.org/iso25964/skos-thes, dated 2015-03-17",true,false,true,unverified,unverified,unverified,
SRC-009,RFC 5646: Tags for Identifying Languages (BCP 47),Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc5646.html,"Best Current Practice 47, September 2009",true,false,true,unverified,unverified,unverified,
SRC-010,ISO 15924 Registration Authority — Codes for the representation of names of scripts,Unicode Consortium (ISO 15924 Registration Authority),https://www.unicode.org/iso15924/,"ISO 15924:2022; code list maintained and distributed by the Registration Authority, retrieved 2026-09-02",true,false,true,unverified,unverified,unverified,
SRC-011,RFC 3339: Date and Time on the Internet: Timestamps,Internet Engineering Task Force (IETF),https://www.rfc-editor.org/rfc/rfc3339.html,"Standards Track, July 2002",true,false,true,unverified,unverified,unverified,
SRC-012,Introduction to TermBase eXchange (TBX),"TBX Info (complement to ISO 30042, maintained with LTAC Global)",https://www.tbxinfo.net/,TBX Version 3 published 2019 as ISO 30042:2019; site retrieved 2026-09-02,true,false,true,unverified,unverified,unverified,
SRC-013,ISO 1087:2019 Terminology work and terminology science — Vocabulary,International Organization for Standardization (ISO),https://www.iso.org/standard/62330.html,"Second edition, 2019",true,false,true,unverified,unverified,unverified,
SRC-014,XKOS: An SKOS extension for representing statistical classifications,DDI Alliance,https://rdf-vocabulary.ddialliance.org/xkos.html,XKOS version 1.0 (DDI Alliance published vocabulary),true,false,true,unverified,unverified,unverified,
SRC-015,OWL 2 Web Ontology Language Primer (Second Edition),World Wide Web Consortium (W3C),https://www.w3.org/TR/owl2-primer/,"W3C Recommendation, 11 December 2012",true,false,true,unverified,unverified,unverified,
SRC-016,RDF 1.1 Concepts and Abstract Syntax,World Wide Web Consortium (W3C),https://www.w3.org/TR/rdf11-concepts/,"W3C Recommendation, 25 February 2014",true,false,true,unverified,unverified,unverified,
SRC-017,Best Practice Recipes for Publishing RDF Vocabularies,World Wide Web Consortium (W3C),https://www.w3.org/TR/swbp-vocab-pub/,"W3C Working Group Note, 28 August 2008",true,false,true,unverified,unverified,unverified,
SRC-018,"ANSI/NISO Z39.19-2005 (R2010) Guidelines for the Construction, Format, and Management of Monolingual Controlled Vocabularies",National Information Standards Organization (NISO),https://www.niso.org/publications/ansiniso-z3919-2005-r2010,"ANSI/NISO Z39.19-2005, reaffirmed 2010",true,false,true,unverified,unverified,unverified,
SRC-019,Data Catalog Vocabulary (DCAT) - Version 3,World Wide Web Consortium (W3C),https://www.w3.org/TR/vocab-dcat-3/,"W3C Recommendation, 22 August 2024",true,false,true,unverified,unverified,unverified,
SRC-020,PROV-O: The PROV Ontology,W3C,https://www.w3.org/TR/prov-o/,W3C Recommendation 30 April 2013,true,false,true,unverified,unverified,unverified,
