source_id,organization,url,verification,checked_at,notes
SRC-001,International Labour Organization,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C095,official-web-index,2026-09-06T17:15:00Z,"Direct automated access returned 403; official NORMLEX indexed text verified the current C095 instrument and wage-protection content."
SRC-002,International Labour Organization,"https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:12100:0::NO::P12100_INSTRUMENT_ID,P12100_LANG_CODE:312245,en",official-web-index,2026-09-06T17:15:00Z,"Direct automated access returned 403; official NORMLEX indexed text verified the current C100 instrument and remuneration definition."
SRC-003,International Labour Organization,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C131,official-web-index,2026-09-06T17:15:00Z,"Direct automated access returned 403; official NORMLEX indexed text verified C131 and minimum-wage machinery."
SRC-004,European Union,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32019L1152,direct-200,2026-09-06T17:15:00Z,"Official EUR-Lex text retrieved."
SRC-005,European Union,https://eur-lex.europa.eu/eli/dir/2023/970/oj,direct-200,2026-09-06T17:15:00Z,"Official EUR-Lex text retrieved."
SRC-006,European Union,https://eur-lex.europa.eu/eli/reg/2016/679/oj,direct-200,2026-09-06T17:15:00Z,"Official EUR-Lex GDPR text retrieved."
SRC-007,United States Department of Labor,https://www.dol.gov/general/topic/wages/wagesrecordkeeping,official-web-index,2026-09-06T17:15:00Z,"Direct automated access returned 403; official DOL indexed guidance verified worker, hour, earning, deduction, total and pay-period records."
SRC-008,United States Internal Revenue Service,https://www.irs.gov/publications/p15,direct-200,2026-09-06T17:15:00Z,"Official 2026 Publication 15 retrieved."
SRC-009,HM Revenue and Customs,https://www.gov.uk/paye-for-employers/paye-and-payroll,direct-200,2026-09-06T17:15:00Z,"Official PAYE overview retrieved."
SRC-010,HM Revenue and Customs,https://www.gov.uk/running-payroll/reporting-to-hmrc,direct-200,2026-09-06T17:15:00Z,"Official FPS reporting and correction guidance retrieved."
SRC-011,Canada Revenue Agency,https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/t4001/employers-guide-payroll-deductions-remittances.html,official-web-index,2026-09-06T17:15:00Z,"Direct retrieval exceeded the bounded timeout; official Canada.ca indexed guide verified payroll, deduction, contribution, remittance, reporting and record duties."
SRC-012,Australian Taxation Office,https://www.ato.gov.au/api/public/content/0-9e8a6a9e-7a55-456b-8bd4-ff06ea9a2694,official-web-index,2026-09-06T17:15:00Z,"Direct automated access returned 403; official ATO indexed content verified Single Touch Payroll Phase 2 employer reporting guidance."
SRC-013,New Zealand Inland Revenue,https://www.ird.govt.nz/payday,direct-200,2026-09-06T17:15:00Z,"Official payday filing guidance retrieved."
SRC-014,Organisation for Economic Co-operation and Development,https://www.oecd.org/en/publications/taxing-wages-2026_3a5169ef-en/full-report/methodology-and-limitations_f25b8cbc.html,official-web-index,2026-09-06T17:15:00Z,"Direct automated access returned 403; official OECD indexed methodology verified gross earnings, contributions, payroll tax, labour cost and net take-home axes."
SRC-015,Eurostat,https://ec.europa.eu/eurostat/cache/metadata/EN/earn_ses2022_esms.htm,direct-200,2026-09-06T17:15:00Z,"Official SES metadata retrieved."
SRC-016,International Organization for Standardization,https://www.iso20022.org/catalogue-messages,official-web-index,2026-09-06T17:15:00Z,"Direct retrieval exceeded the bounded timeout; official ISO 20022 indexed catalogue verified payment-message and external-code-set scope."
SRC-017,International Organization for Standardization,https://www.iso.org/iso-4217-currency-codes.html,official-web-index,2026-09-06T17:15:00Z,"Direct automated access returned 403; official ISO indexed page verified current currency-code scope."
SRC-018,XBRL International,https://specifications.xbrl.org/work-product-index-group-base-spec-base-spec.html,direct-200,2026-09-06T17:15:00Z,"Official XBRL specification index retrieved."
SRC-019,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339.html,direct-200,2026-09-06T17:15:00Z,"Official RFC Editor text retrieved."
SRC-020,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,direct-200,2026-09-06T17:15:00Z,"Official W3C Recommendation retrieved."
SRC-021,World Wide Web Consortium,https://www.w3.org/TR/vocab-dqv/,direct-200,2026-09-06T17:15:00Z,"Official W3C Note retrieved."
SRC-022,World Wide Web Consortium,https://www.w3.org/TR/odrl-model/,direct-200,2026-09-06T17:15:00Z,"Official W3C Recommendation retrieved."
SRC-023,World Wide Web Consortium,https://www.w3.org/TR/owl-time/,direct-200,2026-09-06T17:15:00Z,"Official W3C Recommendation retrieved."
SRC-024,OpenAPI Initiative,https://spec.openapis.org/oas/v3.1.1.html,direct-200,2026-09-06T17:15:00Z,"Official OpenAPI specification retrieved."
