source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,SP 800-53 Rev. 5 Security and Privacy Controls,National Institute of Standards and Technology,https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final,"Rev. 5 with Release 5.2.0 notice, 27 August 2025",false,false,true,true,unverified,unverified,unverified,
SRC-002,CIS Critical Security Controls Navigator v8,Center for Internet Security,https://www.cisecurity.org/controls/cis-controls-navigator/v8,CIS Controls v8 current navigator,false,false,true,true,unverified,unverified,unverified,
SRC-003,SCIM Core Schema,Internet Engineering Task Force,https://www.rfc-editor.org/info/rfc7643/,"RFC 7643, September 2015",false,false,true,true,unverified,unverified,unverified,
SRC-004,SCIM Protocol,Internet Engineering Task Force,https://www.rfc-editor.org/info/rfc7644/,"RFC 7644, September 2015",false,false,true,true,unverified,unverified,unverified,
SRC-005,Getting On Board: A Model for Integrating and Engaging New Employees,U.S. Office of Personnel Management,https://www.opm.gov/policy-data-oversight/training-and-development/reference-materials/online-courses/maximizing-employee-engagement/content/common/cw/data/Getting_Onboard_a_Model_for_Integrating_and_Engaging_New_Employees.pdf,Official OPM guide accessed 6 September 2026,false,false,true,true,unverified,unverified,unverified,
SRC-006,Managing Risk of Adverse or Involuntary Employee Separations,Cybersecurity and Infrastructure Security Agency,https://www.cisa.gov/sites/default/files/2024-08/ISC-Managing-Risk-of-Adverse-Involuntary-Employee-Separations_508__2024-05-30.pdf,"Interagency Security Committee guide, May 2024",false,false,true,true,unverified,unverified,unverified,
SRC-007,Identity and access management,UK National Cyber Security Centre,https://www.ncsc.gov.uk/collection/10-steps/identity-and-access-management,10 Steps guidance accessed 6 September 2026,false,false,true,true,unverified,unverified,unverified,
SRC-008,ISO 30414:2025 Human capital reporting and disclosure,International Organization for Standardization,https://www.iso.org/standard/30414,ISO 30414:2025 edition 2; public abstract only,false,false,true,true,unverified,unverified,unverified,
SRC-009,General Data Protection Regulation,European Union,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex%3A32016R0679,Regulation (EU) 2016/679 official text,false,false,true,true,unverified,unverified,unverified,
SRC-010,PROV-O: The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,"W3C Recommendation, 30 April 2013",false,false,true,true,unverified,unverified,unverified,
SRC-011,Web Content Accessibility Guidelines 2.2,World Wide Web Consortium,https://www.w3.org/TR/WCAG22/,"W3C Recommendation, 12 December 2024",false,false,true,true,unverified,unverified,unverified,
SRC-012,NIST Privacy Framework,National Institute of Standards and Technology,https://www.nist.gov/privacy-framework,Privacy Framework 1.0 with evolution materials,false,false,true,true,unverified,unverified,unverified,
SRC-013,Disposing of records,"The National Archives, United Kingdom",https://www.nationalarchives.gov.uk/information-management/manage-information/policy-process/disposal/,Official guidance accessed 6 September 2026,false,false,true,true,unverified,unverified,unverified,
SRC-014,Date and Time on the Internet: Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339,"RFC 3339, July 2002",false,false,true,true,unverified,unverified,unverified,
