source_id,verified_at,authority,version_status,claim_check,limitations
SRC-001,2026-09-06T21:05:00Z,GS1,pinned 2.0.1,event structure clocks endpoints and error declaration verified,visibility standard not universal inventory ledger
SRC-002,2026-09-06T21:05:00Z,GS1,accessed date pinned,ObjectEvent instance and class quantity scope verified,linked-data documentation follows EPCIS release
SRC-003,2026-09-06T21:05:00Z,GS1,accessed date pinned,aggregation parent-child semantics verified,handling-unit lifecycle remains external
SRC-004,2026-09-06T21:05:00Z,GS1,accessed date pinned,transformation input-output distinction verified,manufacturing profile rather than ordinary relocation
SRC-005,2026-09-06T21:05:00Z,GS1,pinned 2.0.0,business-step and disposition vocabulary verified,implementation profile must pin accepted vocabulary
SRC-006,2026-09-06T21:05:00Z,GS1,pinned 2.0,critical tracking event and key data element framing verified,2017 baseline supplemented by EPCIS 2.0.1
SRC-007,2026-09-06T21:05:00Z,OASIS Open,pinned 2.4,inventory and fulfilment document boundaries verified,document exchange not inventory posting authority
SRC-008,2026-09-06T21:05:00Z,OASIS Open,pinned 2.4,inventory report structure verified,schema projection requires field-level conformance testing
SRC-009,2026-09-06T21:05:00Z,OASIS Open,pinned 2.4,receipt short rejected and damaged quantity support verified,receipt advice does not itself prove ledger posting
SRC-010,2026-09-06T21:05:00Z,OASIS Open,pinned 2.4,full partial despatch and handling-unit linkage verified,despatch advice remains document assertion
SRC-011,2026-09-06T21:05:00Z,UN/CEFACT,accessed date pinned,into and out-of-inventory direction codes verified,only two direction codes do not cover all internal transition semantics
SRC-012,2026-09-06T21:05:00Z,UN/CEFACT,pinned D.21A,inventory movement reason code purpose verified,code-list values require exact release pin
SRC-013,2026-09-06T21:05:00Z,UN/CEFACT,pinned D.21A,inventory balance method purpose verified,balance method is not the movement event itself
SRC-014,2026-09-06T21:05:00Z,UN/CEFACT,pinned D.21A,inventory movement and balance quantity qualifiers verified,qualifier vocabulary does not define calculation authority
SRC-015,2026-09-06T21:05:00Z,UN/CEFACT,accessed date pinned,unit-code recommendation authority verified,current code-list release must be pinned in implementation
SRC-016,2026-09-06T21:05:00Z,UN/CEFACT,accessed date pinned,syntax-neutral reusable component scope verified,field projection needs release-specific mapping
SRC-017,2026-09-06T21:05:00Z,ISA,accessed date pinned,enterprise-control integration boundary verified,series overview not clause-level model text
SRC-018,2026-09-06T21:05:00Z,IEC,pinned 62264-2:2013,object and attribute model scope verified,licensed standard limits public clause verification
SRC-019,2026-09-06T21:05:00Z,IETF,pinned RFC 3339,seconds and explicit offset timestamp profile verified,domain clock semantics remain model-specific
SRC-020,2026-09-06T21:05:00Z,W3C,pinned Recommendation 2013,activity entity agent revision and invalidation semantics verified,provenance does not decide inventory truth
SRC-021,2026-09-06T21:05:00Z,W3C,pinned Note 2016,quality measurement annotation policy and provenance verified,application quality dimensions need local policy
SRC-022,2026-09-06T21:05:00Z,W3C,pinned Recommendation 2.2,permission prohibition duty and constraint semantics verified,authorization enforcement remains Dimension-owned
SRC-023,2026-09-06T21:05:00Z,W3C,pinned Recommendation 2004,decimal and dateTime datatype semantics verified,serialization profile must constrain lexical choices
SRC-024,2026-09-06T21:05:00Z,ISO,pinned 8000-110:2021,master-data exchange and quality relevance verified,licensed standard limits public clause verification
