source_id,verified_at,authority,version_status,claim_check,limitations
SRC-001,2026-09-07T09:08:00Z,OMG,pinned SACM 2.3,assumed claim and argument-context semantics verified,assurance-case semantics are a profile rather than a universal assumption ontology
SRC-002,2026-09-07T09:08:00Z,OMG,pinned SysML 2.0 September 2025,system model requirement constraint analysis and traceability scope verified,implementation conformance requires exact release artifacts
SRC-003,2026-09-07T09:08:00Z,ISO,pinned 2018 confirmed 2024 with revision initiated 2026,requirements process information-item and traceability scope verified,licensed standard detail and pending revision require explicit implementation pins
SRC-004,2026-09-07T09:08:00Z,ISO,pinned 15288:2023,system life-cycle stakeholder decision risk information and retirement scope verified,does not prescribe an assumption record schema
SRC-005,2026-09-07T09:08:00Z,ISO,pinned 31000:2018 confirmed 2023 and under revision,contextual iterative risk monitoring and communication scope verified,guideline is not a certifiable universal assumption profile
SRC-006,2026-09-07T09:08:00Z,IEC,pinned 31010:2019 under review,decision-under-uncertainty technique selection and validation scope verified,method detail is licensed and profile-specific
SRC-007,2026-09-07T09:08:00Z,NIST,pinned AI RMF 1.0 with revision in progress,documented context assumptions limitations risk measurement and monitoring verified,future revision and sector profiles remain holds
SRC-008,2026-09-07T09:08:00Z,NIST,pinned SP 800-30 Rev. 1,risk model input assumption likelihood impact uncertainty and maintenance scope verified,security-risk profile is not universal
SRC-009,2026-09-07T09:08:00Z,NASA,handbook Rev. 2 appendix page accessed,ConOps assumption and constraint declaration plus assumption correctness review verified,NASA engineering guidance is domain-profile evidence
SRC-010,2026-09-07T09:08:00Z,UK Government,pinned updated edition 30 July 2025,assumption-log description effect reliability time rationale author and sign-off verified,government analytical profile does not govern every domain
SRC-011,2026-09-07T09:08:00Z,US GAO,pinned GAO-20-195G March 2020,ground rule source sensitivity risk validation and estimate-update scope verified,cost-estimation profile does not define universal epistemic status
SRC-012,2026-09-07T09:08:00Z,W3C,pinned Recommendation 2013,entity activity agent attribution derivation revision and invalidation verified,provenance does not establish truth
SRC-013,2026-09-07T09:08:00Z,W3C,pinned Working Group Note 2016,quality measurement annotation policy and provenance scope verified,DQV is a Note and requires local metrics
SRC-014,2026-09-07T09:08:00Z,W3C,pinned Recommendation 2017,attributable body-target annotation motivation selector state and provenance verified,annotation alone does not govern assumption acceptance
SRC-015,2026-09-07T09:08:00Z,W3C,pinned ODRL 2.2 Recommendation,permission prohibition duty constraint and party scope verified,ODRL is an access and rights projection
SRC-016,2026-09-07T09:08:00Z,W3C,pinned SHACL Recommendation 2017,graph validation severity result and report semantics verified,SHACL validation is not contextual truth proof
SRC-017,2026-09-07T09:08:00Z,DataCite,pinned schema 4.7 March 2026,persistent resource identity version relation contributor and rights scope verified,metadata schema does not define premise acceptance
SRC-018,2026-09-07T09:08:00Z,RO-Crate Community,pinned long-term release 1.3,portable research-object contextual action provenance and profile scope verified,packaging does not replace source records
SRC-019,2026-09-07T09:08:00Z,Schema.org,accessed date pinned,claim identity review and reference discovery scope verified,lightweight vocabulary lacks governed assumption lifecycle
SRC-020,2026-09-07T09:08:00Z,IETF,pinned RFC 3339,seconds and explicit offset timestamp rule verified,semantic clock kinds require model rules
SRC-021,2026-09-07T09:08:00Z,IETF,pinned RFC 2119,normative requirement keyword interpretation verified,keywords do not create authority or assumption status
SRC-022,2026-09-07T09:08:00Z,IETF,pinned RFC 8174,uppercase normative-keyword applicability clarification verified,lowercase wording and uninvoked use remain ordinary language
SRC-023,2026-09-07T09:08:00Z,IETF,pinned RFC 8785,deterministic JSON canonicalization for hashing and signing verified,canonical bytes do not establish semantic identity or truth
SRC-024,2026-09-07T09:08:00Z,OMG,pinned formal DMN 1.5 August 2024,decision requirements inputs knowledge sources logic and execution profile verified,DMN does not own proposition or assumption lifecycle
