source_id,title,organization,url,version_or_date,used_by_claude,used_by_grok,used_by_codex,accepted_in_synthesis,live_status,version_status,claim_support_status,notes
SRC-001,Artificial Intelligence Risk Management Framework AI RMF 1.0,National Institute of Standards and Technology,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,NIST AI 100-1 26 January 2023,false,false,true,true,verified,verified,verified,Revision in progress at access; inspected 1.0 remains pinned.
SRC-002,Artificial Intelligence Risk Management Framework Generative Artificial Intelligence Profile,National Institute of Standards and Technology,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,NIST AI 600-1 July 2024,false,false,true,true,verified,verified,verified,
SRC-003,Adversarial Machine Learning A Taxonomy and Terminology of Attacks and Mitigations,National Institute of Standards and Technology,https://www.nist.gov/publications/adversarial-machine-learning-taxonomy-and-terminology-attacks-and-mitigations-0,NIST AI 100-2e2025 March 2025,false,false,true,true,verified,verified,verified,
SRC-004,Regulation EU 2024/1689 Artificial Intelligence Act,European Union,https://eur-lex.europa.eu/eli/reg/2024/1689/oj,13 June 2024 official journal text,false,false,true,true,verified,verified,verified,European Union legal profile.
SRC-005,Regulation EU 2016/679 General Data Protection Regulation,European Union,https://eur-lex.europa.eu/eli/reg/2016/679/oj,27 April 2016 applicable from 25 May 2018,false,false,true,true,verified,verified,verified,European Union legal profile.
SRC-006,Data Catalog Vocabulary DCAT Version 3,World Wide Web Consortium,https://www.w3.org/TR/vocab-dcat-3/,W3C Recommendation 22 August 2024,false,false,true,true,verified,verified,verified,
SRC-007,PROV-O The PROV Ontology,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,W3C Recommendation 30 April 2013,false,false,true,true,verified,verified,verified,
SRC-008,Croissant ML-ready Dataset Metadata Format,MLCommons,https://docs.mlcommons.org/croissant/,Croissant 1.0 documentation current at access,false,false,true,true,verified,verified,verified,
SRC-009,MLCommons Benchmarks,MLCommons,https://mlcommons.org/benchmarks/,First-party benchmark programme current at access,false,false,true,true,verified,current,verified,
SRC-010,MLPerf Inference Rules,MLCommons,https://github.com/mlcommons/inference_policies/blob/master/inference_rules.adoc,Current master at access,false,false,true,true,verified,current,verified,Mutable policy branch; projection must pin a release or commit.
SRC-011,Dataset Cards,Hugging Face,https://huggingface.co/docs/hub/datasets-cards,Hub documentation current at access,false,false,true,true,verified,current,verified,
SRC-012,Data Cards Purposeful and Transparent Dataset Documentation for Responsible AI,Google Research,https://research.google/pubs/data-cards-purposeful-and-transparent-dataset-documentation-for-responsible-ai/,2022 publication,false,false,true,true,verified,verified,verified,
SRC-013,SPDX Specification Dataset Profile,SPDX,https://spdx.github.io/spdx-spec/v3.0.1/model/Dataset/Dataset/,SPDX 3.0.1,false,false,true,true,verified,verified,verified,
SRC-014,SKOS Simple Knowledge Organization System Reference,World Wide Web Consortium,https://www.w3.org/TR/skos-reference/,W3C Recommendation 18 August 2009,false,false,true,true,verified,verified,verified,
SRC-015,Date and Time on the Internet Timestamps,Internet Engineering Task Force,https://www.rfc-editor.org/info/rfc3339/,RFC 3339 July 2002,false,false,true,true,verified,verified,verified,
