source_id,url,verification,status,checked_at,notes
SRC-001,https://service.unece.org/trade/untdid/d01c/timd/resreq_c.htm,verified-web-index-direct-403,primary-official,2026-09-06T15:08:00Z,"Official UN/EDIFACT D.01C RESREQ page; live search index exposed message structure while direct automated HEAD returned 403."
SRC-002,https://service.unece.org/trade/untdid/d98b/timd/resrsp_c.htm,verified-web-index-direct-403,primary-official,2026-09-06T15:08:00Z,"Official UN/EDIFACT D.98B RESRSP page; live search index exposed revision and scope while direct automated HEAD returned 403."
SRC-003,https://service.unece.org/trade/untdid/d09b/trmd/iftmbf_c.htm,verified-web-index-direct-403,primary-official,2026-09-06T15:08:00Z,"Official UN/EDIFACT D.09B IFTMBF page; live search index exposed revision and functional definition while direct automated HEAD returned 403."
SRC-004,https://schema.org/Reservation,verified-direct-200,primary-official,2026-09-06T15:08:00Z,"Canonical Schema.org Reservation type page."
SRC-005,https://schema.org/ReservationStatusType,verified-direct-200,primary-official,2026-09-06T15:08:00Z,"Canonical Schema.org status enumeration page, V30.0."
SRC-006,https://schema.org/ReservationPackage,verified-direct-200,primary-official,2026-09-06T15:08:00Z,"Canonical Schema.org package type page, V30.0."
SRC-007,https://www.iata.org/en/iata-repository/pressroom/fact-sheets/fact-sheet-one-order/,verified-direct-200,primary-official,2026-09-06T15:08:00Z,"Official IATA ONE Order factsheet."
SRC-008,https://www.tmforum.org/open-digital-architecture/open-apis/TMF646,verified-web-index-direct-403,primary-official,2026-09-06T15:08:00Z,"Official TM Forum TMF646 directory page; search index exposed version and scope while direct automated HEAD returned 403."
SRC-009,https://www.tmforum.org/open-digital-architecture/open-apis,verified-web-index-direct-403,primary-official,2026-09-06T15:08:00Z,"Official TM Forum Open API Directory; search index exposed TMF716 v4 and neighboring APIs while direct automated HEAD returned 403."
SRC-010,https://eur-lex.europa.eu/eli/dir/2015/2302/oj,verified-direct-200,primary-official,2026-09-06T15:08:00Z,"Official EUR-Lex text of Directive EU 2015/2302."
SRC-011,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011L0083,verified-direct-200,primary-official,2026-09-06T15:08:00Z,"Official EUR-Lex consumer-rights directive entry."
SRC-012,https://www.rfc-editor.org/rfc/rfc5545.html,verified-web-index-and-official-html,primary-official,2026-09-06T15:08:00Z,"Official RFC Editor HTML for RFC 5545; info endpoint HEAD returned a transient 500 so the stable RFC HTML path is cited."
SRC-013,https://www.rfc-editor.org/rfc/rfc3339.html,verified-web-index-and-official-html,primary-official,2026-09-06T15:08:00Z,"Official RFC Editor HTML for RFC 3339; info endpoint HEAD returned a transient 500 so the stable RFC HTML path is cited."
SRC-014,https://www.w3.org/TR/prov-o/,verified-direct-200,primary-official,2026-09-06T15:08:00Z,"Official W3C Recommendation."
SRC-015,https://www.w3.org/TR/odrl-model/,verified-direct-200,primary-official,2026-09-06T15:08:00Z,"Official W3C Recommendation."
SRC-016,https://www.w3.org/TR/vocab-dqv/,verified-direct-200,primary-official,2026-09-06T15:08:00Z,"Official W3C Working Group Note."
SRC-017,https://www.six-group.com/en/products-services/financial-information/market-reference-data/data-standards.html,verified-direct-200,primary-official,2026-09-06T15:08:00Z,"Official ISO 4217 Maintenance Agency data-standards page."
SRC-018,https://spec.openapis.org/oas/v3.1.1.html,verified-direct-200,primary-official,2026-09-06T15:08:00Z,"Official OpenAPI 3.1.1 specification."
