source_id,verified_at,authority,version_status,claim_check,limitations
SRC-001,2026-09-06T20:40:00Z,UN/CEFACT,accessed date pinned,BSP-RDM syntax-neutral cross-domain scope verified,overview page rather than field-level release
SRC-002,2026-09-06T20:40:00Z,UN/CEFACT,accessed date pinned,current web vocabulary and maintained-source statement verified,ontology evolution requires exact projection pin
SRC-003,2026-09-06T20:40:00Z,UN/CEFACT,pinned D22A,SCRDM supply-chain master structure verified,profile rather than universal law
SRC-004,2026-09-06T20:40:00Z,UN/CEFACT,pinned 1.0.0.2,consignment and item definitions verified,2016 baseline supplemented by newer sources
SRC-005,2026-09-06T20:40:00Z,UN/CEFACT,pinned 0.1 September 2022,shipment lifecycle and trace links verified,early BRS version
SRC-006,2026-09-06T20:40:00Z,UN/CEFACT,pinned 2021 INF.4,shipment-consignment distinction and split/consolidation verified,informational plenary document
SRC-007,2026-09-06T20:40:00Z,UN/CEFACT,pinned 1.0 October 2020,shipping-instruction entity relationships verified,document process profile
SRC-008,2026-09-06T20:40:00Z,UN/CEFACT,pinned fourth edition 2020,trade and transport location coding verified,location master remains external
SRC-009,2026-09-06T20:40:00Z,UN/CEFACT,recommendation and current list access pinned,trade measurement units verified,code-list version must be pinned by adopter
SRC-010,2026-09-06T20:40:00Z,UN/CEFACT,pinned Recommendation 21 revision 1,cargo and package type boundary verified,older classifier with maintained derivatives
SRC-011,2026-09-06T20:40:00Z,WCO,pinned 4.1 context,WCO cross-border regulatory framework verified,some implementation details require account or licensed access
SRC-012,2026-09-06T20:40:00Z,WCO,accessed date pinned,GoodsShipment versus Consignment main-class distinction verified,customs profile only
SRC-013,2026-09-06T20:40:00Z,OASIS Open,pinned OASIS Standard 2.4,shipment-consignment many-to-many and freight structures verified,UBL document profile not canonical Vercy storage
SRC-014,2026-09-06T20:40:00Z,GS1,pinned 2.0.1,EPCIS visibility event dimensions and event versus record time verified,event model does not own shipment master
SRC-015,2026-09-06T20:40:00Z,GS1,pinned 2.0.0,shipping receiving steps and dispositions verified,GS1 vocabulary profile
SRC-016,2026-09-06T20:40:00Z,IATA,accessed date pinned,ONE Record shared shipment-record and security scope verified,air-cargo profile
SRC-017,2026-09-06T20:40:00Z,IATA,pinned ontology 3.2.0,shipment piece waybill booking segment and ULD relationships verified,ontology labels remain modal
SRC-018,2026-09-06T20:40:00Z,DCSA,accessed date pinned,container-shipping tracking phases verified,ocean-container profile
SRC-019,2026-09-06T20:40:00Z,European Union,pinned Regulation 2020/1056,electronic freight regulatory information verified,EU and EEA jurisdiction only
SRC-020,2026-09-06T20:40:00Z,ISO,pinned 15459-1:2014,individual transport-unit identifier scope verified,full normative text may require licensed access
SRC-021,2026-09-06T20:40:00Z,IETF,pinned RFC 3339,seconds and explicit offsets verified,does not define logistics event semantics
SRC-022,2026-09-06T20:40:00Z,W3C,pinned Recommendation,provenance and revision concepts verified,generic ontology
SRC-023,2026-09-06T20:40:00Z,W3C,pinned Working Group Note,quality concepts verified,non-normative note
SRC-024,2026-09-06T20:40:00Z,W3C,pinned Recommendation,permissions prohibitions duties and constraints verified,policy vocabulary not authorization engine
