"sequence","model_id","name","registry_id","entry_kind","nav_path","domain_tags","priority_score","priority_confidence","registry_review_state","stream_status"
"95","WM-ACT-023","Public Health / Epidemiology","vr.wm-act-023","standalone-mm","NAV.ACT.HCR.PUB","ACT.HCR.PUB","77","low","migration-boundary-review","queued"
"101","WM-FLW-004","Goods Movement / Logistics","vr.wm-flw-004","standalone-mm","NAV.PHY.FLW.LOG","PHY.FLW.LOG","77","low","migration-boundary-review","queued"
"107","WM-PER-003","Non-human Agent","vr.wm-per-003","standalone-mm","NAV.SOC.PER.AGT","SOC.PER.AGT","77","low","first-pass-reviewed","queued"
"113","WM-POL-004","Permit / Authorization","vr.wm-pol-004","standalone-mm","NAV.SOC.POL.PRM","SOC.POL.PRM","77","low","migration-boundary-review","queued"
"119","WM-XCT-017","Attestation / Credential","vr.wm-xct-017","mixin","NAV.XCT.CRED","XCT.CRED","77","low","migration-boundary-review","queued"
"125","WM-ACT-036","Research Study","vr.wm-act-036","standalone-mm","NAV.ACT.RES","ACT.RES","74","low","boundary-review-required","queued"
"131","WM-ACT-045","Insurance Claim Handling","vr.wm-act-045","standalone-mm","NAV.ACT.INS","ACT.INS","74","low","boundary-review-required","queued"
"137","WM-ACT-052","Tax Filing / Assessment Process","vr.wm-act-052","standalone-mm","NAV.ACT.TAX","ACT.TAX","74","low","boundary-review-required","queued"
"143","WM-AI-010","AI Incident Report","vr.wm-ai-010","standalone-mm","NAV.INF.AI.INC","INF.AI.INC","74","low","boundary-review-required","queued"
"149","WM-ECO-017","Financial Position / Balance","vr.wm-eco-017","standalone-mm","NAV.SOC.ECO.POS","SOC.ECO.POS","74","low","boundary-review-required","queued"
"155","WM-ECO-025","Return / Refund","vr.wm-eco-025","standalone-mm","NAV.SOC.ECO.RET","SOC.ECO.RET","74","low","boundary-review-required","queued"
"161","WM-ECO-032","Tax Return / Filing","vr.wm-eco-032","standalone-mm","NAV.SOC.ECO.TAX","SOC.ECO.TAX","74","low","boundary-review-required","queued"
"167","WM-ECO-038","Equity / Security Holding","vr.wm-eco-038","standalone-mm","NAV.SOC.ECO.SEC","SOC.ECO.SEC","74","low","boundary-review-required","queued"
"173","WM-FLW-015","Resource Consumption","vr.wm-flw-015","standalone-mm","NAV.PHY.FLW.RES","PHY.FLW.RES","74","low","boundary-review-required","queued"
"179","WM-LIV-021","Disease / Biological Condition","vr.wm-liv-021","standalone-mm","NAV.PHY.LIV.HLT","PHY.LIV.HLT","74","low","boundary-review-required","queued"
"185","WM-OBJ-018","Engineering Design / Product Definition","vr.wm-obj-018","standalone-mm","NAV.PHY.OBJ.DES","PHY.OBJ.DES","74","low","boundary-review-required","queued"
"191","WM-ORG-014","Customer / Account Relationship","vr.wm-org-014","standalone-mm","NAV.SOC.ORG.CRM","SOC.ORG.CRM","74","low","boundary-review-required","queued"
"197","WM-POL-016","Public Authority / Institution","vr.wm-pol-016","standalone-mm","NAV.SOC.POL.AUT","SOC.POL.AUT","74","low","boundary-review-required","queued"
"203","WM-POL-026","Customs Declaration / Clearance","vr.wm-pol-026","standalone-mm","NAV.SOC.POL.CUS2","SOC.POL.CUS2","74","low","boundary-review-required","queued"
"209","WM-REC-013","Operational Log / Trace","vr.wm-rec-013","standalone-mm","NAV.INF.REC.LOG","INF.REC.LOG","74","low","boundary-review-required","queued"
"215","WM-SFT-017","Telemetry / Operational Signal","vr.wm-sft-017","standalone-mm","NAV.INF.SFT.TEL","INF.SFT.TEL","74","low","boundary-review-required","queued"
"221","WM-XCT-005","Privacy Aggregation Floor","vr.wm-xct-005","mixin","NAV.XCT.PRV","XCT.PRV","65","low","migration-boundary-review","queued"
"227","WM-ACT-001","Function / Capability","vr.wm-act-001","standalone-mm","NAV.ACT.CAP","ACT.CAP","63","low","migration-boundary-review","queued"
"233","WM-ACT-011","Agriculture Operation","vr.wm-act-011","standalone-mm","NAV.ACT.AGR","ACT.AGR","63","low","migration-boundary-review","queued"
"239","WM-ACT-019","Incident / Emergency","vr.wm-act-019","standalone-mm","NAV.ACT.INC","ACT.INC","63","low","migration-boundary-review","queued"
"245","WM-ECO-007","Procurement","vr.wm-eco-007","standalone-mm","NAV.SOC.ECO.PRC2","SOC.ECO.PRC2","63","low","migration-boundary-review","queued"
"251","WM-KNW-002","Language / Terminology","vr.wm-knw-002","standalone-mm","NAV.INF.KNW.LNG","INF.KNW.LNG","63","low","migration-boundary-review","queued"
"257","WM-ORG-009","Public Office","vr.wm-org-009","standalone-mm","NAV.SOC.ORG.OFF","SOC.ORG.OFF","63","low","migration-boundary-review","queued"
"263","WM-POL-002","Lawmaking Process","vr.wm-pol-002","standalone-mm","NAV.SOC.POL.LEG","SOC.POL.LEG","63","low","migration-boundary-review","queued"
"269","WM-POL-010","Dispute Forum","vr.wm-pol-010","standalone-mm","NAV.SOC.POL.FOR","SOC.POL.FOR","63","low","migration-boundary-review","queued"
"275","WM-REC-005","Standard / Spec Artifact","vr.wm-rec-005","standalone-mm","NAV.INF.REC.STD","INF.REC.STD","63","low","migration-boundary-review","queued"
"281","WM-VRT-004","Web Resource","vr.wm-vrt-004","standalone-mm","NAV.INF.VRT.WEB","INF.VRT.WEB","63","low","first-pass-reviewed","queued"
"287","WM-BLT-002","Premises / Spatial Unit","vr.wm-blt-002","standalone-mm","NAV.PHY.BLT.UNT","PHY.BLT.UNT","61","low","migration-boundary-review","queued"
"293","WM-BLT-010","Utility Network Topology","vr.wm-blt-010","standalone-mm","NAV.PHY.BLT.NET","PHY.BLT.NET","61","low","boundary-review-required","queued"
"299","WM-FLW-001","Energy","vr.wm-flw-001","standalone-mm","NAV.PHY.FLW.EN","PHY.FLW.EN","61","low","migration-boundary-review","queued"
"305","WM-FLW-008","Mass-balance / Material Flow","vr.wm-flw-008","standalone-mm","NAV.PHY.FLW.MAT","PHY.FLW.MAT","61","low","first-pass-reviewed","queued"
"311","WM-LIV-015","Phenotype / Trait","vr.wm-liv-015","standalone-mm","NAV.PHY.LIV.PHN","PHY.LIV.PHN","61","low","boundary-review-required","queued"
"317","WM-MAT-002","Engineered Material","vr.wm-mat-002","standalone-mm","NAV.PHY.MAT.ENGR","PHY.MAT.ENGR","61","low","migration-boundary-review","queued"
"323","WM-MED-004","Audio / Video Recording","vr.wm-med-004","standalone-mm","NAV.INF.MED.AV","INF.MED.AV","61","low","boundary-review-required","queued"
