source_id,organization,url,verification,checked_at,notes
SRC-001,United States Internal Revenue Service,https://www.irs.gov/e-file-providers/modernized-e-file-mef-schemas-and-business-rules,direct-200,2026-09-06T17:50:00Z,"Official IRS page retrieved; it identifies XML schemas, business reject criteria and valid schema versions."
SRC-002,United States Internal Revenue Service,https://www.irs.gov/e-file-providers/modernized-e-file-overview,direct-200,2026-09-06T17:50:00Z,"Official IRS page retrieved; it separates preparation, transmission, schema and business validation, acceptance and additional processing."
SRC-003,United States Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p1345.pdf,direct-200,2026-09-06T17:50:00Z,"Official 45-page December 2025 publication retrieved."
SRC-004,United States Internal Revenue Service,https://www.irs.gov/pub/irs-pdf/p4163.pdf,direct-200,2026-09-06T17:50:00Z,"Official 96-page December 2025 publication retrieved."
SRC-005,HM Revenue and Customs,https://www.gov.uk/self-assessment-tax-return-forms,direct-200,2026-09-06T17:50:00Z,"Official GOV.UK forms and supplementary-page guidance retrieved."
SRC-006,HM Revenue and Customs,https://www.gov.uk/self-assessment-tax-returns/corrections,direct-200,2026-09-06T17:50:00Z,"Official GOV.UK correction and amendment guidance retrieved."
SRC-007,HM Revenue and Customs,https://developer.service.hmrc.gov.uk/guides/income-tax-mtd-end-to-end-service-guide/index.html,direct-200,2026-09-06T17:50:00Z,"Official HMRC developer service guide retrieved."
SRC-008,European Union,https://eur-lex.europa.eu/eli/dir/2006/112/oj/eng,direct-200,2026-09-06T17:50:00Z,"Official EUR-Lex VAT Directive text retrieved."
SRC-009,European Union,https://eur-lex.europa.eu/eli/reg/2016/679/oj,direct-200,2026-09-06T17:50:00Z,"Official EUR-Lex GDPR text retrieved."
SRC-010,OECD,https://www.oecd.org/en/publications/tax-administration-3-0-the-digital-transformation-of-tax-administration_ca274cc5-en.html,direct-200,2026-09-06T17:50:00Z,"Official OECD publication page retrieved."
SRC-011,OECD,https://www.oecd.org/en/topics/sub-issues/international-standards-on-tax-transparency/tax-transparency-resource-centre.html,official-web-index,2026-09-06T17:50:00Z,"Official OECD current resource centre verified with CRS, CbC, GIR, CARF and status-message schemas."
SRC-012,OECD,https://www.oecd.org/en/topics/country-by-country-reporting-for-tax-purposes.html,direct-200,2026-09-06T17:50:00Z,"Official OECD country-by-country reporting page retrieved."
SRC-013,OECD,https://www.oecd.org/content/dam/oecd/en/publications/reports/2024/10/amended-common-reporting-standard-xml-schema_27960161/dd7ee57a-en.pdf,direct-200,2026-09-06T17:50:00Z,"Official 61-page amended CRS XML schema guide retrieved."
SRC-014,Canada Revenue Agency,https://www.canada.ca/en/revenue-agency/services/e-services/digital-services-individuals/efile-electronic-filers/file-returns.html,direct-200,2026-09-06T17:50:00Z,"Official 2026 EFILE guidance retrieved; it separates signature, transmission, acknowledgement, processing and amendment."
SRC-015,Canada Revenue Agency,https://www.canada.ca/en/revenue-agency/services/e-services/filing-information-returns-electronically-t4-t5-other-types-returns-overview.html,direct-200,2026-09-06T17:50:00Z,"Official electronic information-return overview retrieved."
SRC-016,XBRL International,https://specifications.xbrl.org/work-product-index-group-base-spec-base-spec.html,direct-200,2026-09-06T17:50:00Z,"Official XBRL specification index retrieved."
SRC-017,XBRL International,https://specifications.xbrl.org/work-product-index-taxonomy-packages-report-packages-1.0.html,direct-200,2026-09-06T17:50:00Z,"Official Report Packages 1.0 recommendation index retrieved."
SRC-018,International Organization for Standardization,https://www.iso.org/iso-4217-currency-codes.html,direct-200,2026-09-06T17:50:00Z,"Official ISO 4217 currency-code page retrieved."
SRC-019,Internet Engineering Task Force,https://www.rfc-editor.org/rfc/rfc3339.html,direct-200,2026-09-06T17:50:00Z,"Official RFC Editor text retrieved."
SRC-020,World Wide Web Consortium,https://www.w3.org/TR/prov-o/,direct-200,2026-09-06T17:50:00Z,"Official W3C PROV-O recommendation retrieved."
SRC-021,World Wide Web Consortium,https://www.w3.org/TR/vocab-dqv/,direct-200,2026-09-06T17:50:00Z,"Official W3C Data Quality Vocabulary note retrieved."
SRC-022,World Wide Web Consortium,https://www.w3.org/TR/odrl-model/,direct-200,2026-09-06T17:50:00Z,"Official W3C ODRL recommendation retrieved."
SRC-023,World Wide Web Consortium,https://www.w3.org/TR/xmldsig-core1/,direct-200,2026-09-06T17:50:00Z,"Official W3C XML Signature 1.1 recommendation retrieved."
SRC-024,OpenAPI Initiative,https://spec.openapis.org/oas/v3.1.1.html,direct-200,2026-09-06T17:50:00Z,"Official OpenAPI 3.1.1 specification retrieved."
