source_id,url,verification,status,checked_at,notes
SRC-001,https://docs.oasis-open.org/ubl/UBL-2.3.html,verified-direct-200,primary-official,2026-09-06T15:24:00Z,"Official OASIS UBL 2.3 standard with fulfilment business rules and schemas."
SRC-002,https://service.unece.org/trade/untdid/d99a/trmd/desadv_d.htm,verified-web-index-direct-403,primary-official,2026-09-06T15:24:00Z,"Official UN/EDIFACT D.99A DESADV page; indexed live content verified while automated direct access was publisher-blocked."
SRC-003,https://service.unece.org/trade/untdid/d96b/trmd/recadv_d.htm,verified-web-index-direct-403,primary-official,2026-09-06T15:24:00Z,"Official UN/EDIFACT D.96B RECADV page; indexed live content verified while automated direct access was publisher-blocked."
SRC-004,https://service.unece.org/trade/untdid/d20a/trmd/insdes_c.htm,verified-web-index-direct-403,primary-official,2026-09-06T15:24:00Z,"Official UN/EDIFACT D.20A INSDES page; indexed live content verified while automated direct access was publisher-blocked."
SRC-005,https://ref.gs1.org/standards/epcis/2.0.1/,verified-direct-200,primary-official,2026-09-06T15:24:00Z,"Official GS1 EPCIS 2.0.1 standard."
SRC-006,https://ref.gs1.org/standards/cbv/2.0.0/,verified-direct-200,primary-official,2026-09-06T15:24:00Z,"Official GS1 Core Business Vocabulary 2.0 standard."
SRC-007,https://uncitral.un.org/en/texts/salegoods,verified-direct-200,primary-official,2026-09-06T15:24:00Z,"Official UNCITRAL CISG and related-transactions portal with authoritative convention links."
SRC-008,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32011L0083,verified-direct-200,primary-official,2026-09-06T15:24:00Z,"Official EUR-Lex consumer-rights directive entry."
SRC-009,https://eur-lex.europa.eu/eli/dir/2019/771/oj,verified-direct-200,primary-official,2026-09-06T15:24:00Z,"Official EUR-Lex sale-of-goods directive entry."
SRC-010,https://schema.org/ParcelDelivery,verified-direct-200,primary-official,2026-09-06T15:24:00Z,"Canonical Schema.org V30.0 type page."
SRC-011,https://schema.org/DeliveryEvent,verified-direct-200,primary-official,2026-09-06T15:24:00Z,"Canonical Schema.org V30.0 type page."
SRC-012,https://www.tmforum.org/open-digital-architecture/open-apis/service-ordering-management-api-TMF641/v4.1,verified-web-index-direct-403,primary-official,2026-09-06T15:24:00Z,"Official TM Forum TMF641 v4.1 page; live indexed version and scope verified while direct automated access was publisher-blocked."
SRC-013,https://www.tmforum.org/open-digital-architecture/open-apis,verified-web-index-direct-403,primary-official,2026-09-06T15:24:00Z,"Official TM Forum Open API Directory; live indexed API boundaries verified while direct automated access was publisher-blocked."
SRC-014,https://www.rfc-editor.org/rfc/rfc3339.html,verified-official-html,primary-official,2026-09-06T15:24:00Z,"Official RFC Editor HTML for RFC 3339."
SRC-015,https://www.w3.org/TR/prov-o/,verified-direct-200,primary-official,2026-09-06T15:24:00Z,"Official W3C Recommendation."
SRC-016,https://www.w3.org/TR/vocab-dqv/,verified-direct-200,primary-official,2026-09-06T15:24:00Z,"Official W3C Working Group Note."
SRC-017,https://www.w3.org/TR/odrl-model/,verified-direct-200,primary-official,2026-09-06T15:24:00Z,"Official W3C Recommendation."
SRC-018,https://spec.openapis.org/oas/v3.1.1.html,verified-direct-200,primary-official,2026-09-06T15:24:00Z,"Official OpenAPI 3.1.1 specification."
