"sequence","model_id","name","registry_id","entry_kind","nav_path","domain_tags","priority_score","priority_confidence","registry_review_state","stream_status"
"94","WM-ACT-021","Service Case / Ticket","vr.wm-act-021","standalone-mm","NAV.ACT.CSE","ACT.CSE","77","low","first-pass-reviewed","queued"
"100","WM-ECO-012","Budget","vr.wm-eco-012","standalone-mm","NAV.SOC.ECO.BDG","SOC.ECO.BDG","77","low","first-pass-reviewed","queued"
"106","WM-ORG-006","Membership","vr.wm-org-006","standalone-mm","NAV.SOC.ORG.MEM","SOC.ORG.MEM","77","low","migration-boundary-review","queued"
"112","WM-POL-001","Legal Instrument / Norm","vr.wm-pol-001","standalone-mm","NAV.SOC.POL.NRM","SOC.POL.NRM","77","low","first-pass-reviewed","queued"
"118","WM-XCT-016","Identity Register","vr.wm-xct-016","pattern","NAV.XCT.IDREG","XCT.IDREG","77","low","migration-boundary-review","queued"
"124","WM-ACT-035","Test Execution","vr.wm-act-035","standalone-mm","NAV.ACT.TST","ACT.TST","74","low","boundary-review-required","queued"
"130","WM-ACT-044","Content Publication","vr.wm-act-044","standalone-mm","NAV.ACT.PUB","ACT.PUB","74","low","boundary-review-required","queued"
"136","WM-ACT-051","Regulatory Compliance Process","vr.wm-act-051","standalone-mm","NAV.ACT.REG","ACT.REG","74","low","boundary-review-required","queued"
"142","WM-AI-009","Evaluation Dataset / Benchmark","vr.wm-ai-009","extension","NAV.INF.AI.DAT","INF.AI.DAT","74","low","boundary-review-required","queued"
"148","WM-DAT-010","Time Series / Observation Collection","vr.wm-dat-010","standalone-mm","NAV.INF.DAT.TS","INF.DAT.TS","74","low","boundary-review-required","queued"
"154","WM-ECO-024","Fulfilment / Delivery","vr.wm-eco-024","standalone-mm","NAV.SOC.ECO.FUL","SOC.ECO.FUL","74","low","boundary-review-required","queued"
"160","WM-ECO-031","Payroll / Compensation","vr.wm-eco-031","standalone-mm","NAV.SOC.ECO.PAYR","SOC.ECO.PAYR","74","low","boundary-review-required","queued"
"166","WM-ECO-037","Debt Instrument","vr.wm-eco-037","standalone-mm","NAV.SOC.ECO.DEBT","SOC.ECO.DEBT","74","low","boundary-review-required","queued"
"172","WM-FLW-013","Supply-chain Trace / Chain of Custody","vr.wm-flw-013","pattern","NAV.PHY.FLW.LOG","PHY.FLW.LOG","74","low","boundary-review-required","queued"
"178","WM-LIV-012","Genomic Sequence / Variant","vr.wm-liv-012","standalone-mm","NAV.PHY.LIV.MOL","PHY.LIV.MOL","74","low","boundary-review-required","queued"
"184","WM-OBJ-017","Product Configuration / Variant","vr.wm-obj-017","standalone-mm","NAV.PHY.OBJ.TYPE","PHY.OBJ.TYPE","74","low","boundary-review-required","queued"
"190","WM-ORG-013","Stakeholder / Interest","vr.wm-org-013","standalone-mm","NAV.SOC.ORG.STK","SOC.ORG.STK","74","low","boundary-review-required","queued"
"196","WM-PER-013","Professional License / Credential","vr.wm-per-013","standalone-mm","NAV.SOC.PER.CRD","SOC.PER.CRD","74","low","boundary-review-required","queued"
"202","WM-POL-021","Judgment / Legal Decision","vr.wm-pol-021","standalone-mm","NAV.SOC.POL.JDG","SOC.POL.JDG","74","low","boundary-review-required","queued"
"208","WM-REC-012","Minutes / Transcript","vr.wm-rec-012","standalone-mm","NAV.INF.REC.MIN","INF.REC.MIN","74","low","boundary-review-required","queued"
"214","WM-SFT-016","Service Level / SLO","vr.wm-sft-016","standalone-mm","NAV.INF.SFT.SLO","INF.SFT.SLO","74","low","boundary-review-required","queued"
"220","WM-XCT-004","Access Audit","vr.wm-xct-004","mixin","NAV.XCT.AUD","XCT.AUD","65","low","migration-boundary-review","queued"
"226","WM-XCT-019","Cyber Integrity","vr.wm-xct-019","mixin","NAV.XCT.SEC","XCT.SEC","65","low","migration-boundary-review","queued"
"232","WM-ACT-010","Production Run","vr.wm-act-010","standalone-mm","NAV.ACT.PRD","ACT.PRD","63","low","migration-boundary-review","queued"
